,Planet Name,Eclipse Flux Ratio 3.9-4.03um,Eclipse Flux Ratio 4.03-4.16um,Eclipse Flux Ratio 4.16-4.29um,Eclipse Flux Ratio 4.29-4.42um,Eclipse Flux Ratio 4.42-4.55um,Eclipse Flux Ratio 4.55-4.68um,Eclipse Flux Ratio 4.68-4.81um,Eclipse Flux Ratio 4.81-4.94um,Eclipse Flux Ratio 4.94-5.07um,Eclipse Flux Ratio 5.07-5.2um,Eclipse Flux Ratio 5.2-5.33um,Eclipse Flux Ratio 5.33-5.46um,Eclipse Flux Ratio 5.46-5.59um,Eclipse Flux Ratio 5.59-5.72um,Eclipse Flux Ratio 5.72-5.85um,Eclipse Flux Ratio 5.85-5.98um,Eclipse Flux Ratio 5.98-6.11um,Eclipse Flux Ratio 6.11-6.24um,Eclipse Flux Ratio 6.24-6.37um,Eclipse Flux Ratio 6.37-6.5um,Eclipse Flux Ratio 6.5-6.63um,Eclipse Flux Ratio 6.63-6.76um,Eclipse Flux Ratio 6.76-6.89um,Eclipse Flux Ratio 6.89-7.02um,Eclipse Flux Ratio 7.02-7.15um,Eclipse Flux Ratio 7.15-7.28um,Eclipse Flux Ratio 7.28-7.41um,Eclipse Flux Ratio 7.41-7.54um,Eclipse Flux Ratio 7.54-7.67um,Eclipse Flux Ratio 7.67-7.8um
95,HD86226c,2.136850874722809e-05,2.2461436697382944e-05,2.3528843301335002e-05,2.4570239615175534e-05,2.5585392596603257e-05,2.6574277187981085e-05,2.7537036022180353e-05,2.8473945675350412e-05,2.938538850467454e-05,3.0271829225407258e-05,3.1133795492761386e-05,3.197186185666667e-05,3.278663654934687e-05,3.3578750646664194e-05,3.4348849214634164e-05,3.509758411320177e-05,3.5825608181270926e-05,3.653357057111842e-05,3.722211303770669e-05,3.789186701996768e-05,3.854345137770455e-05,3.9177470670095876e-05,3.979451388053505e-05,4.039515350825786e-05,4.097994496038078e-05,4.1549426189001216e-05,4.2104117527240424e-05,4.2644521685834275e-05,4.317112387833846e-05,4.368439204841946e-05
96,TOI-481b,0.00015298821634467837,0.00016253910350545246,0.00017196375147775697,0.00018124729711093272,0.00019037794993720267,0.00019934656174536942,0.00020814624498459116,0.00021677203704639195,0.00022522060673182563,0.0002334899989019716,0.00024157941328271218,0.00024948901354308347,0.0002572197630171851,0.0002647732837430868,0.00027215173581553393,0.00027935771437145125,0.00028639416183537337,0.00029326429333863474,0.00029997153348783887,0.0003065194628936242,0.0003129117730804381,0.00031915222858324663,0.0003252446351996565,0.00033119281350789886,0.00033700057688462346,0.0003426717133635586,0.00034820997076875644,0.00035361904463614423,0.0003589025685060831,0.0003640641062290229
97,WASP-169b,0.0004339359182581991,0.0004503340864070983,0.00046615632031247773,0.0004814204582796679,0.0004961453738317076,0.0005103505207112835,0.0005240555824642027,0.0005372802051297727,0.0005500437957935793,0.0005623653731913253,0.0005742634593243191,0.000585756003276956,0.0005968603302154086,0.0006075931099792088,0.0006179703408230025,0.0006280073447810883,0.0006377187718582874,0.0006471186108340926,0.0006562202049325647,0.0006650362709817773,0.000673578920982716,0.0006818596852435578,0.0006898895364232644,0.0006976789139780797,0.0007052377486235062,0.0007125754865188175,0.0007197011129560324,0.0007266231753944776,0.0007333498057287203,0.0007398887417142929
98,Kepler-138b,1.3847887465326765e-07,1.6563130312904719e-07,1.9576984510817903e-07,2.2891123727489995e-07,2.650480926139975e-07,3.04151132776578e-07,3.4617156962650105e-07,3.910435390325272e-07,4.3868651048968945e-07,4.890076145865187e-07,5.419038463242864e-07,5.972641157588188e-07,6.549711284723198e-07,7.149030871961174e-07,7.76935212754243e-07,8.409410876595319e-07,9.067938294417399e-07,9.743671033751656e-07,1.0435359859297426e-06,1.1141776911932268e-06,1.186172172872038e-06,1.2594026144157396e-06,1.3337558194403769e-06,1.4091225140423478e-06,1.4853975718704614e-06,1.5624801720171483e-06,1.6402738989438712e-06,1.7186867928035781e-06,1.7976313576882758e-06,1.8770245345290312e-06
99,TOI-4010d,2.0428009021382953e-05,2.3271723641384758e-05,2.6278634473385595e-05,2.94378819200064e-05,3.273825626496993e-05,3.616839952923577e-05,3.971697382781176e-05,4.3372798947344424e-05,4.712496228399533e-05,5.096290442829514e-05,5.487648364293353e-05,5.885602231583863e-05,6.28923382331593e-05,6.697676324034555e-05,7.11011515694307e-05,7.525787982378669e-05,7.943984033897364e-05,8.364042938630949e-05,8.785353145778592e-05,9.207350066808692e-05,9.629514013140484e-05,0.00010051368001625171,0.00010472475484872584,0.00010892438052166675,0.00011310893137164347,0.00011727511760567337,0.00012141996329293999,0.0001255407850817283,0.00012963517175664644,0.00013370096471446426
100,WASP-33b,0.0031168191205504505,0.0031677044478070505,0.0032158956513933944,0.0032615919214321054,0.003304974373188509,0.00334620788963206,0.0033854427728316513,0.0034228162202270393,0.003458453642235646,0.0034924698372102076,0.0035249700388355776,0.003556050849882976,0.0035858010749776643,0.003614302463773405,0.003641630374717822,0.0036678543684660085,0.0036930387389690995,0.0037172429893336176,0.0037405222587142905,0.0037629277057622764,0.0037845068534950667,0.0038053038998761366,0.003825359997883451,0.0038447135083989202,0.0038634002288584603,0.003881453600258079,0.0038989048948095332,0.0039157833862742165,0.003932116504771607,0.003947929977654568
101,HATS-1b,0.001128181240656064,0.001181975811369466,0.0012343481217302846,0.0012852943372201808,0.0013348212205850486,0.0013829439083706894,0.0014296840727985845,0.0014750684079677156,0.001519127387713379,0.0015618942501360398,0.0016034041706766353,0.0016436935916229235,0.0016827996811153735,0.0017207598991467931,0.0017576116517989612,0.0017933920181166948,0.0018281375366669167,0.001861884041042265,0.0018946665354125471,0.0019265191027613379,0.0019574748397193447,0.0019875658129639307,0.0020168230330313026,0.0020452764421149995,0.0020729549130267776,0.002099886256995044,0.002126097238389395,0.0021516135948020363,0.002176460061200351,0.002200660397099447
102,HD106315c,1.3281278706547296e-05,1.4502428939170266e-05,1.57403668004195e-05,1.699077474726006e-05,1.8249737594769802e-05,1.951372788924068e-05,2.077958640380192e-05,2.2044499587767566e-05,2.3305975364323343e-05,2.4561818317170584e-05,2.5810105024390875e-05,2.704916007588348e-05,2.827753313874073e-05,2.949397730348615e-05,3.069742884513427e-05,3.188698845975391e-05,3.306190398404098e-05,3.422155456778836e-05,3.5365436243440376e-05,3.649314882024373e-05,3.760438402058134e-05,3.86989147711288e-05,3.977658556012864e-05,4.0837303773288623e-05,4.188103192376981e-05,4.290778069584197e-05,4.3917602726592424e-05,4.4910587055253905e-05,4.588685417502562e-05,4.684655162753026e-05
103,XO-6b,0.0010083889628182108,0.0010484703811510677,0.0010872170712722703,0.0011246629386156405,0.0011608455636656415,0.0011958049640804825,0.0012295826229643265,0.001262220731153871,0.0012937616011525525,0.0013242472183989358,0.0013537189021483938,0.001382217053616222,0.0014097809733867204,0.0014364487336180393,0.0014622570934198877,0.001487241448077842,0.001511435804648835,0.0015348727779429924,0.0015575836021070187,0.0015795981539901503,0.0016009449852508358,0.001621651360787509,0.0016417433015796427,0.0016612456304295452,0.0016801820194202064,0.001698575038165386,0.0017164462021373838,0.0017338160205256407,0.0017507040432134335,0.0017671289065670013
104,HAT-P-26b,0.00015991718717483255,0.00017193660884466547,0.00018393591052864888,0.00019588398551691487,0.00020775408565914353,0.00021952339177143458,0.00023117260147474217,0.00024268554146666724,0.00025404880814796987,0.00026525143833259606,0.00027628461024929187,0.0002871413740231036,0.00029781641017336593,0.0003083058142793333,0.000318606905768416,0.0003287180587174181,0.00033863855258168374,0.00034836844084950186,0.0003579084357370729,0.0003672598071768324,0.00037642429449783756,0.00038540402934365717,0.00039420146851575663,0.0004028193355656028,0.00041126057008478894,0.00041952828375852635,0.00042762572235359095,0.00043555623290741875,0.00044332323547096534,0.0004509301988347569
