,Planet Name,ESM Estimate 3.9-4.03um,ESM Estimate 4.03-4.16um,ESM Estimate 4.16-4.29um,ESM Estimate 4.29-4.42um,ESM Estimate 4.42-4.55um,ESM Estimate 4.55-4.68um,ESM Estimate 4.68-4.81um,ESM Estimate 4.81-4.94um,ESM Estimate 4.94-5.07um,ESM Estimate 5.07-5.2um,ESM Estimate 5.2-5.33um,ESM Estimate 5.33-5.46um,ESM Estimate 5.46-5.59um,ESM Estimate 5.59-5.72um,ESM Estimate 5.72-5.85um,ESM Estimate 5.85-5.98um,ESM Estimate 5.98-6.11um,ESM Estimate 6.11-6.24um,ESM Estimate 6.24-6.37um,ESM Estimate 6.37-6.5um,ESM Estimate 6.5-6.63um,ESM Estimate 6.63-6.76um,ESM Estimate 6.76-6.89um,ESM Estimate 6.89-7.02um,ESM Estimate 7.02-7.15um,ESM Estimate 7.15-7.28um,ESM Estimate 7.28-7.41um,ESM Estimate 7.41-7.54um,ESM Estimate 7.54-7.67um,ESM Estimate 7.67-7.8um
344,TOI-1807b,0.5126651766455036,0.5065126824360899,0.4999487795620589,0.49306519239506347,0.4859396732960054,0.47863799627098075,0.4712156820278253,0.46371948467305846,0.4561886692795158,0.44865610747117585,0.4411492155916873,0.4336907572988925,0.426299529764755,0.4189909501714937,0.4117775569341581,0.4046694380658866,0.397674597332109,0.3907992672993719,0.3840481770530677,0.37742478121407397,0.3709314559041712,0.3645696664732294,0.35834011108797204,0.35224284367506314,0.34627737919505797,0.3404427837850913,0.33473775193535965,0.3291606725475204,0.32370968545397005,0.31838272974773113
345,HAT-P-17b,1.8054452407121953,1.9171422114877377,2.0238138920648874,2.1251867735774344,2.221085819600175,2.3114195783252014,2.396166538618613,2.4753628617262238,2.549091519607157,2.6174728034781505,2.6806561236291206,2.7388129971209305,2.7921311083119877,2.840809324269338,2.8850535500132466,2.9250733150449393,2.9610789911610387,2.9932795510797554,3.021880787158063,3.0470839189896277,3.0690845276405923,3.0880717625414205,3.1042277745303717,3.1177273352203865,3.1287376087580876,3.137418047208087,3.143920385284575,3.1483887140296303,3.1509596163724325,3.1517623503533714
346,HATS-45b,1.7032291159497144,1.698788242706469,1.6916077403812044,1.6820807653300547,1.6705540371112313,1.6573325767037943,1.6426841719260115,1.6268435089688396,1.610015944483289,1.5923809157331292,1.5740950007597585,1.555294649019518,1.5360986074633958,1.5166100688836175,1.4969185694880975,1.4771016617306296,1.4572263868651554,1.43735056980397,1.417523956839442,1.3977892147653408,1.3781828079838174,1.3587357683550083,1.339474370861456,1.3204207266277819,1.3015933034573683,1.2830073828164976,1.264675461102463,1.2466076020644528,1.2288117463941435,1.2112939837528722
347,TOI-1728b,0.5699245372266137,0.6056746581093523,0.6398615033390769,0.6723921907778492,0.7032055013439247,0.7322672173480157,0.759565824127445,0.7851086244530403,0.8089182819470591,0.8310297871680883,0.851487825449209,0.870344516887116,0.887657494398841,0.903488284207681,0.9179009535274355,0.9309609918757003,0.9427343948519642,0.9532869220034677,0.9626835033234227,0.9709877718184454,0.9782617023393173,0.9845653394310594,0.9899565992932832,0.9944911330386265,0.9982222402985522,1.0012008238632173,1.003475377471003,1.005092000102069,1.0060944311992588,1.0065241021561033
348,HAT-P-3b,2.7315888817480816,2.7799982243735415,2.8207118109468783,2.8543587363429257,2.8815422115908893,2.90283438321425,2.918773303165209,2.9298614995755337,2.9365657176304136,2.9393174966259497,2.9385143268367506,2.934521191335966,2.927672346254342,2.918273230658284,2.9066024263992065,2.892913610704913,2.877437461388816,2.8603834875025123,2.8419417679760204,2.8222845880130176,2.8015679683075514,2.779933085978336,2.7575075888274863,2.734406806394486,2.710734862504791,2.6865856947689766,2.66204398689614,2.6371860198394717,2.6120804477676978,2.5867890047033355
349,WASP-95b,12.123210043689605,12.039270970392186,11.940092652422372,11.82823722459867,11.705926784052187,11.575084843548487,11.437373594093568,11.294227090869535,11.146880605217284,10.996396451669105,10.84368662516897,10.689532584662164,10.534602505274359,10.379466299020642,10.224608677721612,10.070440504323276,9.917308651819612,9.76550456344553,9.615271684265661,9.466811912963797,9.320291203558796,9.175844429867817,9.033579610660883,8.89358158042526,8.755915179299993,8.620628025869195,8.487752927938104,8.35730997899761,8.229308381672467,8.10374803390019
350,HATS-31b,3.891051930756928,3.840175948030145,3.7865992404387514,3.7309815635512042,3.673878799533046,3.615758275004233,3.557011911163084,3.497967478206071,3.438898206367977,3.3800309812683222,3.32155332523466,3.2636193409279644,3.2063547700129513,3.149861298307377,3.094220219961198,3.0394955567106736,2.985736713966029,2.9329807432116373,2.8812542696968597,2.830575135452103,2.7809538000640877,2.7323945351996763,2.6848964434093894,2.6384543271215684,2.5930594298293106,2.548700068165949,2.5053621707668245,2.4630297374458383,2.4216852302106746,2.3813099059390814
351,KELT-19Ab,13.541971465267093,13.34142511620418,13.133851122597328,12.921335161913397,12.705615793501476,12.488138211545609,12.2700998769418,12.05248917961047,11.836118153759935,11.62165013920803,11.409623159916732,11.200469680190702,10.994533300896416,10.792082872565398,10.593324428578125,10.398411278669727,10.207452549515324,10.020520413902556,9.837656211826715,9.658875634716559,9.484173116982866,9.31352555638923,9.146895465689495,8.984233641971906,8.825481426706466,8.670572618196491,8.51943508863488,8.37199214996812,8.22816370604151,8.087867222816659
352,WASP-87b,11.025819290420559,10.777270488509895,10.532073502936901,10.291028933409713,10.054737475071027,9.823638724673307,9.598042670292905,9.378155256424828,9.164099149595167,8.95593061319854,8.75365322532811,8.557229032304171,8.366587617005342,8.181633469668279,8.002251975207185,7.828314271805876,7.659681187726673,7.496206424687496,7.337739124961485,7.1841259341045305,7.035212650739995,6.890845538204012,6.750872359331779,6.615143184646198,6.483511015217714,6.355832254115576,6.231967054353739,6.111779566299758,5.995138103467893,5.881915242284013
353,Kepler-447b,1.745850322374603,1.8037406296966951,1.8560119571887852,1.902913909956147,1.9447188199297045,1.981712112585381,2.0141847581035632,2.0424274541661664,2.0667262298447744,2.087359203059094,2.1045942649203,2.118687501378982,2.1298821953300813,2.1384082805967433,2.1444821432405363,2.148306685811552,2.150071586910285,2.149953702244139,2.1481175646632056,2.144715949853504,2.139890481800373,2.133772258117236,2.1264824801245337,2.118133076378107,2.108827311368453,2.0986603734934453,2.087719938270681,2.076086704203054,2.0638348998275857,2.051032761326569
