,Planet Name,RSM Estimate 3.9-4.03um,RSM Estimate 4.03-4.16um,RSM Estimate 4.16-4.29um,RSM Estimate 4.29-4.42um,RSM Estimate 4.42-4.55um,RSM Estimate 4.55-4.68um,RSM Estimate 4.68-4.81um,RSM Estimate 4.81-4.94um,RSM Estimate 4.94-5.07um,RSM Estimate 5.07-5.2um,RSM Estimate 5.2-5.33um,RSM Estimate 5.33-5.46um,RSM Estimate 5.46-5.59um,RSM Estimate 5.59-5.72um,RSM Estimate 5.72-5.85um,RSM Estimate 5.85-5.98um,RSM Estimate 5.98-6.11um,RSM Estimate 6.11-6.24um,RSM Estimate 6.24-6.37um,RSM Estimate 6.37-6.5um,RSM Estimate 6.5-6.63um,RSM Estimate 6.63-6.76um,RSM Estimate 6.76-6.89um,RSM Estimate 6.89-7.02um,RSM Estimate 7.02-7.15um,RSM Estimate 7.15-7.28um,RSM Estimate 7.28-7.41um,RSM Estimate 7.41-7.54um,RSM Estimate 7.54-7.67um,RSM Estimate 7.67-7.8um
10,TOI-4463Ab,0.21331214602709245,0.2043830214502206,0.1960531187305346,0.18826831526554202,0.18098052375752366,0.17414690389926696,0.1677291903055732,0.16169311789620314,0.15600792917887094,0.15064595054456673,0.14558222687421782,0.1407942055517023,0.13626146245485055,0.13196546371215798,0.1278893580162517,0.1240177951147784,0.12033676678700383,0.11683346718569879,0.11349616989969293,0.11031411948989615,0.10727743558423739,0.10437702789623723,0.10160452076696662,0.09895218602842573,0.09641288315409766,0.09398000580467575,0.09164743399786127,0.08940949123411926,0.0872609059983168,0.08519677713244038
11,TOI-3785b,0.01989271797320122,0.01913132690496546,0.018415619234908826,0.01774202822675698,0.01710731227532513,0.016508523734107192,0.015942980291600774,0.01540823890962208,0.014902072234318465,0.014422447333147135,0.013967506582597386,0.01353555052123915,0.013125022483757794,0.012734494839396133,0.01236265666965921,0.012008302733322106,0.01167032358049893,0.011347696691027033,0.011039478525253783,0.010744797387258021,0.010462847011471143,0.010192880793571639,0.009934206595435344,0.009686182061883012,0.009448210394050785,0.009219736530496547,0.009000243692720082,0.008789250256691422,0.008586306916330777,0.008390994108712182
12,WASP-124b,0.08687880109954385,0.08320747019557634,0.07978523470403033,0.07658930474441074,0.07359947105182262,0.07079776154484145,0.06816814973668063,0.06569630634847404,0.06336938703794014,0.06117585041595813,0.05910530154532565,0.0571483569467117,0.055296527813869185,0.053542118693472855,0.05187813933834056,0.05029822781541559,0.04879658325704256,0.04736790689799599,0.046007350251264935,0.04471046945072955,0.04347318493491162,0.042291745768165454,0.041162697998179565,0.040082856534882166,0.0390492801085749,0.03805924892664688,0.03711024470039022,0.03619993275778244,0.035326145995925734,0.03448687045911168
13,WASP-25b,0.1387186541204173,0.13289629338919293,0.12746589094175478,0.1223919132998267,0.11764280704064438,0.1131904760817252,0.10900983658282638,0.10507843680041777,0.10137613144351665,0.09788480189007054,0.09458811510390876,0.0914713153047672,0.0885210434381055,0.0857251803083177,0.08307270991151394,0.08055360005917353,0.07815869784332002,0.07587963787494215,0.07370876154434498,0.0716390458165346,0.06966404029582152,0.06777781147924049,0.06597489327428493,0.06425024298786065,0.06259920210442811,0.061017461265424684,0.05950102894200101,0.058046203361162896,0.05664954730354928,0.055307865440759094
14,LHS1140c,0.003914419306954963,0.003772674600990591,0.0036387959366599417,0.0035122393250600547,0.0033925003459779166,0.003279112177995597,0.0031716433543748134,0.0030696954032501523,0.0029729004770681373,0.002880919039040091,0.002793437648675366,0.0027101668707855252,0.0026308393202956683,0.002555207847086401,0.002483043859734412,0.0024141357835898245,0.002348287646537595,0.002285317784622257,0.0022250576591769755,0.002167350776984576,0.002112051705161063,0.0020590251727913432,0.002008145251790872,0.001959294609965674,0.0019123638297638035,0.0018672507867317544,0.0018238600821942333,0.0017821025251558646,0.001741894658875594,0.001703158327982776
15,TOI-1199b,0.11217857060391673,0.10747471069982957,0.10308715685501159,0.09898727183803693,0.09514962095062715,0.09155155224520006,0.08817283892200718,0.08499537379293425,0.08200290745862782,0.07918082328685856,0.07651594346045171,0.07399636133067194,0.07161129610607643,0.06935096655986836,0.06720648097683568,0.06516974100533626,0.06323335744771633,0.0613905763279348,0.05963521382929458,0.05796159890727496,0.056364522559860894,0.05483919288659993,0.0533811951928018,0.05198645650084755,0.05065121391980967,0.049371986400229675,0.048145549465163216,0.04696891256332515,0.045839298736924716,0.04475412633674558
16,TOI-1273b,0.1055180287259138,0.10109562177714838,0.09697042576628279,0.0931155503148667,0.08950710980231924,0.08612382989775971,0.08294671230043656,0.07995874823738605,0.07714467290761946,0.0744907544070246,0.07198461177038297,0.0696150576708644,0.06737196205964857,0.06524613363897191,0.06322921656522797,0.061313600194585344,0.05949234002798684,0.05775908829832498,0.05610803288059004,0.05453384340445995,0.05303162361501553,0.05159686916673504,0.05022543015325423,0.048913477774320736,0.04765747462503454,0.04645414816339498,0.045300466972440806,0.044193619484593896,0.04313099487967583,0.042110165905557204
17,TOI-5803b,0.0038150300659540947,0.003657579079866425,0.003510519710305729,0.003372931942652947,0.0032439958713789876,0.003122979022660171,0.0030092254718347995,0.002902146481490174,0.0028012124294072914,0.002705945832332462,0.002615915302442085,0.0025307302992571452,0.0024500365614154324,0.0023735121208035394,0.0023008638166699823,0.002231824239982893,0.002166149048878223,0.0021036146049142287,0.002044015887294128,0.001987164648483021,0.00193288777992245,0.001881025861002809,0.00183143186822512,0.0017839700246812362,0.0017385147726986106,0.0016949498548101264,0.0016531674901842156,0.0016130676353389945,0.0015745573194124792,0.0015375500455032203
18,TOI-3819b,0.09089493802821613,0.0870700888920109,0.08350349040603731,0.08017164896583981,0.07705371340699639,0.07413112619898633,0.07138732676388157,0.06880749834374061,0.0663783513567107,0.06408793741712696,0.06192548920210342,0.05988128216952154,0.05794651480506823,0.05611320462756394,0.05437409763512455,0.05272258924822003,0.051152655114310976,0.049658790394425216,0.048235956364442896,0.04687953334085543,0.045585279088602416,0.04434929199245962,0.043167978377513835,0.04203802345190378,0.040956365419026704,0.039920172369095834,0.038926821613141725,0.0379738811678203,0.03705909313804038,0.03618035877743509
19,TOI-4791b,0.09796403387761536,0.09382355723606553,0.08996406195339775,0.08635983503936212,0.0829880758992556,0.07982850862302282,0.07686305282506176,0.07407554327064804,0.07145149028250875,0.06897787434461741,0.06664296947509443,0.06443619087888565,0.06234796315588884,0.06036960596529118,0.05849323455904408,0.056711673018279736,0.05501837837337577,0.053407374075137896,0.051873191522322164,0.05041081854846928,0.04901565393592131,0.04768346716283738,0.04641036270474838,0.04519274830952521,0.0440273067467384,0.04291097060183775,0.04184089974446674,0.040814461150277585,0.03982921079830377,0.03888287740237756
