,Planet Name,TSM Estimate 1.95-2.015um,TSM Estimate 2.015-2.08um,TSM Estimate 2.08-2.145um,TSM Estimate 2.145-2.21um,TSM Estimate 2.21-2.275um,TSM Estimate 2.275-2.34um,TSM Estimate 2.34-2.405um,TSM Estimate 2.405-2.47um,TSM Estimate 2.47-2.535um,TSM Estimate 2.535-2.6um,TSM Estimate 2.6-2.665um,TSM Estimate 2.665-2.73um,TSM Estimate 2.73-2.795um,TSM Estimate 2.795-2.86um,TSM Estimate 2.86-2.925um,TSM Estimate 2.925-2.99um,TSM Estimate 2.99-3.055um,TSM Estimate 3.055-3.12um,TSM Estimate 3.12-3.185um,TSM Estimate 3.185-3.25um,TSM Estimate 3.25-3.315um,TSM Estimate 3.315-3.38um,TSM Estimate 3.38-3.445um,TSM Estimate 3.445-3.51um,TSM Estimate 3.51-3.575um,TSM Estimate 3.575-3.64um,TSM Estimate 3.64-3.705um,TSM Estimate 3.705-3.77um,TSM Estimate 3.77-3.835um,TSM Estimate 3.835-3.9um
11,TOI-3785b,4.687709891829597,4.5617111239813015,4.439452780540727,4.321017801224658,4.2064339178695604,4.095686723989995,3.9887299706474173,3.8854936734286,3.7858904900273274,3.689820729912764,3.5971762808751633,3.5078436771725734,3.4217064868938185,3.338647159152834,3.258548442615546,3.1812944639107683,3.10677153635218,3.0348687550562885,2.965478423169968,2.8984963448910905,2.8338220137785686,2.77135871912007,2.7110135885530724,2.652697581478171,2.5963254448758377,2.541815640791519,2.489090252870784,2.4380748778130497,2.388698506398279,2.3408933977624127
12,WASP-124b,3.100712287731599,2.987946709180797,2.881478898147934,2.7808686645714658,2.6857085763019923,2.595622161540357,2.510261937327305,2.429307381181896,2.3524629222940407,2.279456000612257,2.2100352228906965,2.143968631609138,2.0810420938025804,2.0210578109423993,1.9638329471908123,1.909198370969834,1.8569975033984287,1.807085266441945,1.759327123364975,1.7135982041291056,1.6697825086194917,1.6277721809451071,1.5874668484844168,1.5487730198047838,1.5116035360467608,1.475877070818204,1.4415176740773452,1.4084543558926688,1.3766207063491702,1.3459545482214448
13,WASP-25b,6.959899512208525,6.7114040515650055,6.476410718132999,6.254019150231743,6.043389205353067,5.843739145985936,5.654343032227145,5.474527662356305,5.303669295105618,5.141190311700056,4.986555922507515,4.839270985758819,4.698876979653972,4.564949151008498,4.437093851095924,4.31494606086883,4.19816710212056,4.086442527544438,3.979480180457898,3.877008413761165,3.7787744571813118,3.6845429217979278,3.5940944310990885,3.5072243682634934,3.423741729929203,3.343468077337457,3.266236576392094,3.1918911188253936,3.1202855172961566,3.051282767848716
14,LHS1140c,2.5619172133813057,2.505984057385077,2.4505807301593925,2.3959228704061495,2.3421764984098217,2.2894672596960484,2.2378879944317154,2.187504935907006,2.1383627870923694,2.090488879117309,2.0438965782921175,1.9985880777538654,1.9545566848468379,1.9117886949754912,1.8702649260670556,1.8299619742613926,1.790853240436564,1.752909768210012,1.7161009267441412,1.680394965721462,1.6457594649829408,1.6121616973405393,1.5795689198147689,1.547948605875358,1.5172686290693531,1.487497406618269,1.4586040100820479,1.430558248964326,1.4033307321252673,1.3768929110337687
15,TOI-1199b,4.900056822774186,4.725568759139114,4.560523487049525,4.404295821453567,4.256301660774797,4.115996927144583,3.9828759090938153,3.8564692544223296,3.7363417837946202,3.622090241143098,3.513341058528328,3.4097481860350505,3.3109910182784574,3.2167724358319907,3.1268169707092563,3.040869098762977,2.9586916576633358,2.880064386383455,2.8047825804200723,2.732655856005839,2.663507016100269,2.5971710108230566,2.5334939851018454,2.4723324065645222,2.413552267056859,2.3570283515699666,2.3026435687892532,2.250288337908001,2.1998600267738118,2.1512624368423228
16,TOI-1273b,9.63420883518758,9.2916010977258,8.967496345392126,8.660674021804065,8.369993043871473,8.09438993355826,7.83287573614935,7.584532219486101,7.348507695409083,7.124012696372131,6.910315663691232,6.706738749923654,6.5126537999169996,6.327478548520323,6.1506730545276,5.981736377796465,5.8202034979849255,5.665642467778179,5.517651789978873,5.375858005796887,5.239913480648586,5.109494373448883,4.984298775523882,4.864045005722665,4.748470048950114,4.637328126098048,4.530389384160392,4.4274386961400864,4.328274561169575,4.232708096047119
17,TOI-5803b,1.8787455599605782,1.8147532581301657,1.7539877841869305,1.6962629920899737,1.641400520899816,1.589230685491872,1.5395929099678822,1.4923358414374042,1.4473172439166906,1.4044037445304203,1.3634704841232328,1.3244007097341213,1.2870853356778857,1.2514224921488304,1.2173170745390665,1.1846803024863457,1.1534292946249678,1.123486662807693,1.0947801279765312,1.0672421587248777,1.0408096327914766,1.0154235211709401,0.9910285941502609,0.9675731483370216,0.9450087535970628,0.9232900187407227,0.9023743747671539,0.8822218744809432,0.862795007324435,0.844058528313116
18,TOI-3819b,0.8947062854172071,0.862538050959211,0.8321361681175956,0.8033806683340143,0.7761599635089771,0.7503705065724364,0.7259163692543731,0.7027087772090971,0.6806656295902445,0.6597110210436926,0.6397747777122426,0.6207920144124213,0.6027027170775583,0.585451352460481,0.568986505669025,0.5532605451672353,0.5382293142720679,0.5238518478079455,0.5100901123775239,0.4969087686157085,0.4842749537781284,0.47215808304967094,0.46052966802494955,0.4493631508977667,0.43863375299196844,0.4283183363655769,0.418395277319402,0.4088443507377727,0.3996466242813232,0.3907843615381572
19,TOI-4791b,0.6884642338497745,0.6634149305242906,0.6397655292674724,0.6174180729549549,0.5962819113908701,0.5762732965532867,0.5573149402471506,0.5393355599619957,0.5222694297388548,0.5060559466525139,0.4906392192609433,0.47596768147421686,0.46199373334023136,0.4486734089483993,0.43596607081430777,0.4238341295877859,0.4122427876251414,0.40115980481389907,0.3905552849863335,0.3804014812725924,0.3706726188007314,0.3613447332333202,0.3523955237268373,0.34380421900290986,0.3355514553244186,0.32761916527122537,0.31999047630750366,0.31264961822407034,0.3055818386244339,0.2987733257016412
20,TOI-4377b,0.9052324770448269,0.8748546829314713,0.8459707687222427,0.8184992057233085,0.7923610245035241,0.7674804336518071,0.7437851858210166,0.7212067632100827,0.6996804352909787,0.6791452274293982,0.6595438286586384,0.6408224592248193,0.6229307128907366,0.6058213848315394,0.5894502928882853,0.573776097681183,0.5587601254144751,0.5443661959757268,0.5305604580303126,0.5173112321537617,0.5045888625671914,0.49236557769851425,0.48061535954974627,0.4693138216824934,0.4584380955204056,0.4479667245946323,0.43787956631509106,0.42815770082848753,0.418783346517933,0.4097397817032978
21,Wolf327b,3.4062093746981064,3.3154712152685164,3.2273518001439556,3.1419231332093704,3.059215653310316,2.979227911667102,2.9019342133838335,2.827290649263457,2.7552398534704663,2.6857147514980637,2.618641507154762,2.553941833542377,2.491534798629004,2.431338228980782,2.3732697939053864,2.3172478354353934,2.263191996272524,2.2110236872682885,2.1606664276434873,2.1120460844905504,2.0650910327955363,2.0197322529810298,1.9759033795850507,1.9335407119792718,1.8925831958554244,1.852972382463427,1.8146523711817164,1.7775697398709815,1.7416734665547187,1.7069148452370284
22,HD118203b,1.426266312704991,1.3749448518961056,1.326444857597907,1.280574298700509,1.2371546228727826,1.196020195585589,1.157017610743238,1.1200049362338595,1.0848509370388013,1.0514343041000511,1.019642907073631,0.9893730820995499,0.960528960886543,0.9330218441049202,0.906769619852039,0.8816962264839241,0.8577311581675969,0.8348090109409426,0.8128690667562415,0.7918549128496672,0.7717140937633425,0.7523977934091041,0.7338605446751153,0.7160599642174238,0.6989565102348041,0.6825132611873138,0.6666957135802154,0.6514715970910316,0.6368107054666403,0.622684741756666
23,TOI-1470b,1.3200931463512926,1.28343831954247,1.2479805309583032,1.213725928745811,1.180667274953235,1.1487873490395928,1.1180616035828392,1.0884602341412812,1.0599497895964392,1.0324944216742389,1.006056850886693,0.9805991094525445,0.9560831087584857,0.9324710687791465,0.9097258389409308,0.8878111336978272,0.8666917012054144,0.8463334396376991,0.8267034726623526,0.8077701931977892,0.7895032826820607,0.7718737115829654,0.7548537256877251,0.7384168217636785,0.722537715427911,0.7071923034637049,0.6923576223432705,0.6780118043345109,0.6641340322656146,0.6507044937781904
24,V1298Taub,2.3652952331728225,2.2859515268766897,2.21050708615158,2.138749432871942,2.0704726962097446,2.005479242016525,1.9435806397488964,1.8845981558437124,1.8283629118330196,1.7747158084393326,1.723507289698796,1.674597001155675,1.627853381427898,1.5831532155639656,1.540381170576973,1.4994293276086168,1.4601967207993511,1.422588889718044,1.3865174498387052,1.3518996838248185,1.3186581551282663,1.2867203445098203,1.2560183094507842,1.226488365982381,1.1980707921606375,1.1707095522220843,1.1443520403407184,1.1189488428479084,1.09445351775963,1.0708223904655263
25,TOI-2109b,1.2984404499235698,1.250002109683856,1.2043694988379041,1.161334728090494,1.1207072461639482,1.0823124738791456,1.0459904786432603,1.0115947158546772,0.9789908514602917,0.9480556718544821,0.9186760821279325,0.8907481904305685,0.8641764742727376,0.8388730235210924,0.814756854353964,0.7917532883239163,0.7697933907952444,0.7488134632877496,0.7287545846022835,0.7095621959871973,0.691185725999433,0.6735782511028524,0.6566961884186248,0.6404990173916323,0.6249490274600555,0.6100110891116246,0.5956524459794484,0.5818425258738985,0.5685527688668923,0.5557564707417431
26,K2-138g,1.6054463696666006,1.54973150707249,1.4969129220963209,1.4468127789298604,1.3992626638886019,1.3541039001470607,1.311187549237328,1.2703742026928806,1.2315336375310457,1.194544387913032,1.159293269934424,1.1256748854032712,1.093591122460061,1.0629506651286431,1.0336685197427813,1.0056655632258145,0.9788681160896904,0.9532075415304586,0.9286198709602136,0.9050454556073814,0.8824286433461226,0.8607174796161685,0.8398634311178251,0.8198211308772538,0.8005481432486802,0.7820047474340501,0.7641537381426295,0.7469602420730389,0.7303915489718175,0.714416956099182
27,K2-141c,9.28492210170373,8.985759576631144,8.70027791966786,8.42785785457701,8.167875228331855,7.919712198293566,7.6827650253581,7.456449351198153,7.240203615517286,7.033491104033117,6.835800994723684,6.646648677765351,6.465575555542659,6.292148477236246,6.125958923442313,5.966622026832715,5.813775492640156,5.667078465965109,5.526210380217473,5.3908698114333005,5.2607733559853,5.135654543774171,5.015262794915776,4.8993624248995005,4.7877317009400375,4.680161950590879,4.5764567224875305,4.476430998231633,4.37991045383495,4.286730768741696
28,TRAPPIST-1b,4.031613031773432,3.965000096274747,3.896920241672593,3.8279395984532667,3.7585258891691327,3.689064015323129,3.619869243390826,3.551198340388588,3.4832589667830884,3.4162175934928762,3.3502061719629053,3.285327752526649,3.2216612166609013,3.1592652631249214,3.098181766028218,3.0384386041963944,2.9800520453943053,2.923028755628141,2.8673674925245067,2.8130605323592257,2.7600948723986622,2.7084532435849544,2.658114963038069,2.6090566511874744,2.5612528344386205,2.514676451001949,2.469299274760645,2.4250922697412753,2.3820258858096826,2.340070304578094
29,TRAPPIST-1e,3.4405537934599635,3.3837067235360205,3.3256077938610638,3.266740136714127,3.2075029036479856,3.14822456724064,3.0891741739655294,3.030570847216994,2.9725918031615497,2.9153791070583863,2.859045365459997,2.8036785208878854,2.749345890309747,2.6960975668861233,2.6439692857248196,2.5929848384443326,2.5431581078552528,2.4944947826863086,2.446993802703678,2.400648576528599,2.355448007708067,2.311377358934195,2.268418979564225,2.2265529176162957,2.185757434081313,2.1460094345943195,2.1072848311606305,2.0695588446588977,2.0328062571861687,1.997001621913507
30,TRAPPIST-1f,3.0976763094113378,3.0464944845267565,2.9941855572841805,2.941184512138121,2.8878507221381313,2.8344799250590684,2.7813143548367867,2.7285512975444686,2.6763503084030518,2.6248392947827432,2.5741196411323517,2.524270525828907,2.475352557189724,2.4274108362089994,2.3804775367178967,2.3345740793182754,2.2897129632925335,2.245899310444099,2.2031321661995547,2.161405596061414,2.120709609423033,2.081030937661902,2.042353689156731,2.004659900293157,1.9679299985205088,1.9321431910038234,1.897277790301207,1.8633114867201586,1.8302215755145124,1.797985145826342
31,TRAPPIST-1g,2.945216329649369,2.8965535478172777,2.846819136822426,2.7964266722584576,2.7457178397207183,2.694973821500968,2.6444249293788147,2.5942587394940197,2.5446269541534887,2.4956511854424726,2.447427827917528,2.40003216299146,2.353521815989847,2.307939668147306,2.2633163097784688,2.2196721072160583,2.1770189445586534,2.135361691527164,2.09469944052992,2.0550265491507473,2.0163335184959954,1.9786077329919933,1.941834083163815,1.9059954895218438,1.8710733428280284,1.8370478736194038,1.8038984618564207,1.7716038958745597,1.7401425883992034,1.7094927561882858
32,GJ3473b,2.0545321356551054,2.0028478807547136,1.9523776700836204,1.9032074414765827,1.8553929506874467,1.8089662169913259,1.7639406790897894,1.720315319851844,1.6780779659179461,1.6372079263978483,1.597678101667481,1.5594566668712633,1.5225084137572564,1.486795817791348,1.452279884218285,1.4189208161549967,1.3866785393560084,1.3555131115395165,1.3253850387568733,1.296255516953626,1.2680866133871846,1.2408413997637373,1.2144840466983846,1.1889798872788173,1.164295456038413,1.1403985084510913,1.117258025092414,1.094844203825437,1.0731284427319567,1.0520833159897909
33,TOI-2202b,1.2619759346131487,1.2189533451816423,1.1781033773479106,1.1393003052892794,1.102423733680674,1.0673591798066124,1.033998351285104,1.0022392113729839,0.9719858984425745,0.9431485477831169,0.9156430504559951,0.8893907741401993,0.864318263752079,0.8403569343976702,0.8174427653985074,0.7955160013474624,0.774520864125789,0.7544052783452821,0.7351206116230504,0.7166214303432097,0.6988652710288992,0.6818124270810602,0.6654257503935999,0.6496704671951468,0.6345140073718133,0.6199258464755009,0.6058773596048663,0.5923416863512706,0.5792936060233508,0.5667094223947965
34,TOI-833b,1.9069888425774209,1.851620529791995,1.7982823116796949,1.7469462785323786,1.6975699435686549,1.6501005197594234,1.6044782007214515,1.5606386703429145,1.518515014515783,1.478039169034051,1.4391430075199942,1.4017591499982653,1.3658215548069335,1.3312659426710078,1.2980300910193243,1.2660540282800166,1.2352801513936689,1.2056532847160395,1.1771206945218071,1.1496320702210487,1.123139480968806,1.0975973144393505,1.0729622030364978,1.0491929416306978,1.0262503999842276,1.004097432294228,0.9826987857071382,0.9620210092044392,0.9420323639037314,0.9227027355389258
35,HD28109c,4.1094813110308115,3.9594361441686714,3.8178193741855617,3.6840362322781828,3.557537101550932,3.4378148426449506,3.3244019422851125,3.2168676294191223,3.114815051887927,3.017878571088005,2.925721207882137,2.8380322566427965,2.7545250733796296,2.674935036748046,2.5990176761948165,2.5265469587569065,2.4573137245226944,2.3911242600900695,2.3277989992345223,2.267171340239516,2.2090865698024746,2.1534008840215186,2.099980497626294,2.048700833296947,1.9994457835906732,1.9521070386476849,1.9065834734659524,1.8627805891105373,1.8206100027581331,1.7799889819664692
36,TOI-2641b,8.553147007993978,8.241204344595761,7.946755685543086,7.668569833314184,7.4055085406691115,7.1565211169814384,6.920638634378217,6.696968041033712,6.484686379982261,6.283035236955386,6.091315489575075,5.908882395532945,5.735141034137647,5.5695421003326695,5.411578040526218,5.260779513627065,5.116712157347203,4.978973638270929,4.847190963810762,4.7210180345666375,4.600133416481714,4.484238313352926,4.37305472156971,4.2663237503264595,4.163804091923397,4.0652706280982605,3.9705131595916674,3.8793352473282723,3.791553154691879,3.7069948813763443
37,TOI-1685b,3.5018771891407097,3.4113822678251586,3.323242960310729,3.2375727296142864,3.154437512724143,3.0738662514302963,2.995859268231939,2.9203949280236547,2.847434934777963,2.7769285401419617,2.7088158837608924,2.6430306400328267,2.5795021103414015,2.5181568716000764,2.4589200695863846,2.401716427805505,2.3464710285234953,2.2931099113846396,2.2415605260729454,2.191752068324578,2.1436157228710213,2.09708483230149,2.052095007146118,2.0085841895152536,1.9664926802406857,1.9257631375375541,1.886340553648874,1.8481722146752375,1.8112076477743737,1.7753985590888213
38,K2-87b,1.239325311286837,1.195085299999872,1.1532483740697452,1.1136543733291395,1.0761538358558644,1.0406076790353247,1.0068867386393514,0.9748712268160519,0.9444501507236382,0.9155207200467855,0.8879877621365017,0.861763156844144,0.836765298453618,0.8129185888726519,0.7901529640114212,0.7684034537621786,0.7476097749881587,0.7277159562843313,0.7086699928797309,0.6904235298353837,0.6729315715974961,0.6561522159542543,0.6400464104882301,0.6245777296949276,0.609712171037679,0.5954179683201797,0.5816654208734762,0.568426737169513,0.5556758915860003,0.5433884931543749
39,WASP-178b,8.161786484798446,7.835285567996784,7.529528545869045,7.24276447107648,6.973421439237433,6.720085772399424,6.481483797244599,6.256465899021534,6.043992563123599,5.843122148185094,5.653000165331669,5.472849866679756,5.301963971850235,5.139697384045156,4.98546076723025,4.838714873381001,4.698965523841294,4.56575916187385,4.438678904706157,4.317341033035776,4.201391864261507,4.090504962845583,3.9843786473510634,3.882733758979417,3.7853116609804327,3.6918724422267695,3.602193301627571,3.5160670929765767,3.433301012360082,3.353715412438163
40,HIP29442b,3.661353682596692,3.534979692421472,3.415117984113541,3.3013755894642594,3.1933791611903435,3.0907759931704364,2.993234273442279,2.900442815541624,2.8121104441636504,2.7279651609036466,2.647753179521483,2.571237893887809,2.4981988227307688,2.428430561520649,2.361741761868563,2.2979541516374185,2.2369016038165013,2.1784292585458864,2.122392700093295,2.068657188793407,2.0170969467400743,1.9675944952202618,1.9200400413783711,1.874330911315079,1.83037102669379,1.788070421904763,1.747344798887346,1.7081151168099096,1.6703072139389206,1.633851459177006
41,HD152843c,4.398272081282614,4.23603974662148,4.083055212450079,3.938650219631407,3.8022096945968724,3.673168065872885,3.5510055422856746,3.4352444777220197,3.325445898262007,3.221206234443917,3.122154279356949,3.0279483787442696,2.938273849964361,2.8528406208685704,2.7713810762708913,2.6936480979285666,2.6194132832759776,2.548465328182052,2.480608559473746,2.4156616037095717,2.3534561795731763,2.293836002208947,2.236655788785525,2.1817803555134816,2.1290837972399337,2.0784487415837916,2.0297656703539104,1.9829323017066653,1.9378530271525,1.8944383981114505
42,K2-26b,0.9134693228478508,0.8876709203462948,0.8627545804070016,0.8387180351599101,0.8155505887668073,0.793235362213467,0.7717510347373007,0.7510731925378422,0.731175370736505,0.7120298554944664,0.6936082984603575,0.6758821843032247,0.6588231832249056,0.6424034134539834,0.6265956333512186,0.6113733785599142,0.5967110563498593,0.5825840067268089,0.568968537854161,0.5558419417391292,0.5431824948777689,0.5309694475595851,0.5191830047464451,0.5078043008178516,0.4968153699809398,0.48619911375197566,0.47593926660520813,0.46602036063793884,0.4564276899049721,0.447147274919882
43,TOI-1246d,2.518092162022443,2.4321936046237567,2.3506373325690872,2.2731715181864875,2.1995551109629288,2.1295589764963623,2.062966431973054,1.9995733609749633,1.9391880399131698,1.8816307717039826,1.8267333956052687,1.7743387226614995,1.72429993199157,1.6764799527722598,1.6307508491905371,1.5869932201122623,1.5450956211980655,1.5049540142893354,1.466471246795557,1.429556562324621,1.3941251427491639,1.3600976811787095,1.3273999848221705,1.295962606413207,1.2657205026847864,1.2366127182838726,1.208582093485845,1.1815749940814921,1.1555410618543211,1.1304329841296747
44,WASP-62b,10.488913032024897,10.103641279992228,9.740199738769407,9.397026028546179,9.072679801404595,8.765834770260474,8.47527049631593,8.199864262659878,7.938583238348535,7.690477053561058,7.454670849978855,7.230358832929377,7.016798327220224,6.813304322925484,6.619244487852657,6.434034618061407,6.257134495263499,6.088044119256124,5.926300284070311,5.771473467803506,5.623165007829562,5.481004535034445,5.3446476427678755,5.213773768234281,5.088084266012689,4.967300655259588,4.851163023889255,4.739428574633282,4.631870299358696,4.528275769365995
45,WASP-80b,10.646097816216097,10.324441182117054,10.015707396842231,9.719541827078569,9.435535003670047,9.163242758856464,8.902201337997202,8.651938668745537,8.411982690859796,8.18186743768742,7.961137399083689,7.749350572614173,7.5460805159706545,7.35091764159225,7.1634699392447105,6.9833632698015995,6.810241340690978,6.64376544814402,6.483614051779518,6.329482231871123,6.181081067857397,6.038136967504732,5.900390969026795,5.76759803294306,5.6395263361727075,5.51595657753747,5.396681301273909,5.281504243167226,5.170239702392829,5.062711940978277
46,WASP-22b,3.5832661353673356,3.4533289387133492,3.3306176156002705,3.214630690320938,3.1049034424442263,3.0010060141254713,2.9025412826939436,2.809142640446582,2.7204717751795235,2.6362165114820613,2.5560887496971603,2.4798225235921922,2.4071721870016143,2.337910732477065,2.2718282402368097,2.2087304526935005,2.148437468026479,2.090782545276956,2.035611013016981,1.9827792735922776,1.9321538951308161,1.8836107838543785,1.8370344296651169,1.7923172184588991,1.7493588051128255,1.7080655415864034,1.6683499550509995,1.630130271412407,1.5933299800142282,1.5578774356999856
47,WASP-60b,1.1883911385317656,1.1455552014424095,1.1050803082696996,1.066805051960292,1.0305794691230448,0.9962645371069887,0.9637315705373783,0.9328615688103382,0.9035445490806049,0.8756788874463349,0.8491706828026969,0.8239331521312009,0.7998860620646066,0.776955198892351,0.7550718773770152,0.734172487576723,0.7141980781260614,0.6950939739872265,0.6768094264501486,0.6592972930698009,0.6425137452327939,0.6264180011113302,0.610972081867169,0.5961405890949566,0.5818905016320355,0.5681909900031585,0.555013246908016,0.5423303322938517,0.5301170316832364,0.5183497265461537
