,Planet Name,Eclipse Flux Ratio 1.1-1.1566667um,Eclipse Flux Ratio 1.1566667-1.2133333um,Eclipse Flux Ratio 1.2133333-1.27um,Eclipse Flux Ratio 1.27-1.3266667um,Eclipse Flux Ratio 1.3266667-1.3833333um,Eclipse Flux Ratio 1.3833333-1.44um,Eclipse Flux Ratio 1.44-1.4966667um,Eclipse Flux Ratio 1.4966667-1.5533333um,Eclipse Flux Ratio 1.5533333-1.61um,Eclipse Flux Ratio 1.61-1.6666667um,Eclipse Flux Ratio 1.6666667-1.7233333um,Eclipse Flux Ratio 1.7233333-1.78um,Eclipse Flux Ratio 1.78-1.8366667um,Eclipse Flux Ratio 1.8366667-1.8933333um,Eclipse Flux Ratio 1.8933333-1.95um
568,TOI-4641b,3.952843546815896e-08,6.455304709134074e-08,1.0066162640363976e-07,1.507902983714356e-07,2.1808877793288993e-07,3.058330654322288e-07,4.17335818181247e-07,5.558600945372823e-07,7.245419316198549e-07,9.263228489526205e-07,1.1638942655387829e-06,1.4396564298938537e-06,1.7556883707811689e-06,2.1137289866628707e-06,2.5151711320619346e-06
569,TRAPPIST-1d,6.324521748911536e-20,3.9200681953076414e-19,2.062121303842101e-18,9.400942614353958e-18,3.779859241885893e-17,1.3603588992326806e-16,4.437783753967867e-16,1.3264244551453054e-15,3.666228975734519e-15,9.446046680402106e-15,2.2844982082403952e-14,5.217669279438047e-14,1.1314025725839948e-13,2.3401601958044553e-13,4.636170872347631e-13
570,TRAPPIST-1h,1.69842290737263e-32,4.051391955368506e-31,7.284280738789617e-30,1.0231729769532718e-28,1.1569912153374462e-27,1.0803064955898131e-26,8.510774925640685e-26,5.762553592846578e-25,3.407147270105765e-24,1.7835018510821256e-23,8.364898061602302e-23,3.5521922074085505e-22,1.3783783928076377e-21,4.927076525511995e-21,1.6340591457380895e-20
571,TOI-244b,6.030998328032799e-14,1.8389626303279993e-13,5.066359691752742e-13,1.277672930721213e-12,2.9818156945955967e-12,6.499408100959248e-12,1.3334875097614901e-11,2.5925151165345146e-11,4.8035123674282744e-11,8.524145494972846e-11,1.4549978533151464e-10,2.3978449985623214e-10,3.8278344721103924e-10,5.936256636537927e-10,8.966190452227526e-10
572,TOI-544b,1.2467414226121028e-07,1.8849031146154082e-07,2.741560098342779e-07,3.855542250531471e-07,5.264715556229331e-07,7.004879105130503e-07,9.108845844367118e-07,1.160573057135881e-06,1.4520467402029889e-06,1.787350979917696e-06,2.1680700854346967e-06,2.5953320005468144e-06,3.06982245089881e-06,3.591807723600124e-06,4.161168034377602e-06
573,HD110067b,1.0756537794179089e-09,1.9955277252061133e-09,3.495292942883181e-09,5.823615896795315e-09,9.287386579057147e-09,1.4251678313740463e-08,2.1136956573789405e-08,3.041379504211363e-08,4.25956031625111e-08,5.8229774333065425e-08,7.788780896609471e-08,1.0215510917605495e-07,1.31620670811559e-07,1.6686712040981221e-07,2.0846171658339284e-07
574,HD110067c,1.3278844515407055e-10,2.7421223371143526e-10,5.294991395631093e-10,9.644398400758855e-10,1.6690690398451712e-09,2.761353565181832e-09,4.390081116006864e-09,6.73672241522419e-09,1.0016153881907543e-08,1.4476176756426193e-08,2.039587542880395e-08,2.808297807867877e-08,3.787031087674082e-08,5.011154292618894e-08,6.517652965072723e-08
575,HD110067d,1.4182731237334218e-11,3.3110836835928474e-11,7.149042339721768e-11,1.4420613123549985e-10,2.7406132664800227e-10,4.942329897543104e-10,8.508584856523413e-10,1.4055987262324236e-09,2.2380226884979296e-09,3.447659794738462e-09,5.1555944907817534e-09,7.50552592099766e-09,1.0664219177154285e-08,1.4821328921138741e-08,2.01886456675559e-08
576,HD110067f,5.806210368352547e-14,1.7430693957965216e-13,4.731863342426022e-13,1.1767337122407486e-12,2.7099728499333393e-12,5.832639507525776e-12,1.1823595349872256e-11,2.2724573871791962e-11,4.16462447365268e-11,7.313484956716084e-11,1.2359281937917115e-10,2.0174272360322774e-10,3.1911926157813234e-10,4.905715904563792e-10,7.347584960646271e-10
577,TOI-1442b,3.934193336277169e-07,5.735413977417339e-07,8.073120884982861e-07,1.1021930793254237e-06,1.4650757711543877e-06,1.9021076365238555e-06,2.4185668275117914e-06,3.018783642357231e-06,3.706108959034854e-06,4.482914903060317e-06,5.350623453269962e-06,6.309763664062908e-06,7.360038867862921e-06,8.500403060008605e-06,9.729151603605808e-06
578,TOI-622b,2.57849706271285e-06,3.5591365147777825e-06,4.763131170411343e-06,6.2055167629852956e-06,7.897241023039301e-06,9.845206678970755e-06,1.2052471929583e-05,1.451856546323161e-05,1.723989335805356e-05,2.021016640105752e-05,2.342083300712626e-05,2.6861524534879862e-05,3.052045144888865e-05,3.438476123558676e-05,3.844088588344613e-05
579,K2-138f,4.243102648607164e-10,8.375464516640642e-10,1.5521751678169487e-09,2.7229187057488696e-09,4.552615206432997e-09,7.29659809209284e-09,1.1265041905824523e-08,1.6823094178725436e-08,2.43888527043598e-08,3.442929730759191e-08,4.745446314189841e-08,6.401032919609213e-08,8.467065966408112e-08,1.100282165647232e-07,1.406859332888242e-07
580,TRAPPIST-1c,1.1609611914576438e-16,5.217841625318475e-16,2.0477696310693773e-15,7.140309665436807e-15,2.244417788900341e-14,6.438164548210147e-14,1.7029869638532652e-13,4.190955979200981e-13,9.669146779315267e-13,2.1052623934931267e-12,4.3507020734736494e-12,8.5767584432741e-12,1.6199613307524603e-11,2.9429410892523956e-11,5.1598514328569985e-11
581,TOI-122b,8.920205058562267e-13,2.594373182788191e-12,6.846489365715162e-12,1.6600038995891552e-11,3.736774825029131e-11,7.878802393795077e-11,1.5676468549304888e-10,2.962343909921586e-10,5.345719583448387e-10,9.255919761552336e-10,1.5440554599871702e-09,2.490552179416101e-09,3.896584488540707e-09,5.929660600892054e-09,8.79821654980132e-09
