,Star Name,Star RA,Star Dec,Planet Name,Transit Mid Time,Transit Duration [hrs],Planet Period [days],Priority,Immediate Followup,Transit Observations,Phase Curve Observations,Known,Observe Transit,Observe Phase Curve
898,TOI-4672,35.215761,-1.826042,TOI-4672.01,2459168.771,5.646,6.6132132,23,0,1,1,0,1,0
899,TOI-4679,61.899944,11.517544,TOI-4679.01,2459515.876,3.878,6.8170909,10,0,2,5,0,1,0
900,TOI-4702,68.219308,-3.737468,TOI-4702.01,2459194.135,3.323,3.121702,26,0,2,1,0,1,0
901,TOI-4709,87.490493,-12.835212,TOI-4709.01,2459220.513,3.209,6.2397532,11,0,1,5,0,1,0
902,TOI-472,99.86703,-33.540223,TOI-472.01,2459226.784,0.755,0.5682596,68,0,1,1,0,0,1
903,TOI-4721,92.32577,11.411488,TOI-4721.01,2459223.128,2.384,4.0086493,10,0,2,7,0,1,0
904,TOI-4726,92.729819,-13.166915,TOI-4726.01,2459223.153,2.775,4.2971136,25,0,1,1,0,1,0
905,TOI-4739,102.5057,-5.202063,TOI-4739.01,2459223.201,3.365,8.1703609,48,0,1,1,0,1,0
906,TOI-476,99.581416,-47.613867,TOI-476.01,2459982.991,3.284,3.0629874,109,0,1,1,0,1,0
907,TOI-4766,117.097528,2.111455,TOI-4766.01,2459963.946,1.6191056,1.9326573,17,0,6,1,0,0,1
908,TOI-4768,112.650574,-28.912866,TOI-4768.01,2459979.777,3.233,7.2644599,33,0,1,1,0,1,0
909,TOI-4770,111.76498,-32.185807,TOI-4770.01,2459963.443,3.119,1.9491813,25,0,2,1,0,0,1
910,TOI-4773,114.942649,-21.485618,TOI-4773.01,2459963.256,1.923273,1.7454828,31,0,4,1,0,0,1
911,TOI-4781,121.782131,-18.726765,TOI-4781.01,2459250.822,1.726,1.9055614,13,0,5,1,0,0,1
912,TOI-4794,110.483552,-12.565478,TOI-4794.01,2459249.836,3.914,3.5658043,24,0,2,1,0,1,0
913,TOI-4798,116.616275,7.92953,TOI-4798.01,2459248.758,1.873,5.5261155,10,0,3,6,0,1,0
914,TOI-4800,114.708588,4.35637,TOI-4800.01,2459244.041,0.875,4.3229915,11,0,5,3,0,1,0
915,TOI-4801,120.655501,-32.127159,TOI-4801.01,2459964.587,2.569,3.251269,11,0,2,3,0,1,0
916,TOI-4823,134.192296,-12.572658,TOI-4823.01,2459964.281,3.1192423,3.7260939,22,0,2,1,0,1,0
917,TOI-4837,139.870171,-32.297525,TOI-4837.01,2459991.373,1.185,4.4644761,13,0,3,2,0,1,0
918,TOI-4847,132.809802,-31.914744,TOI-4847.01,2459271.911,2.322,7.0465721,10,0,2,16,0,1,0
919,TOI-486,98.454881,-58.525032,TOI-486.01,2460204.282,1.066,1.7447031,10,0,2,937,0,1,0
920,TOI-4868,145.189317,-49.815667,TOI-4868.01,2460014.7,3.119,3.5164369,17,0,2,1,0,1,0
921,TOI-4880,198.004287,-53.449373,TOI-4880.01,2459329.599,3.494,3.4717583,24,0,2,1,0,1,0
