,Planet Name,Eclipse Flux Ratio 1.95-2.015um,Eclipse Flux Ratio 2.015-2.08um,Eclipse Flux Ratio 2.08-2.145um,Eclipse Flux Ratio 2.145-2.21um,Eclipse Flux Ratio 2.21-2.275um,Eclipse Flux Ratio 2.275-2.34um,Eclipse Flux Ratio 2.34-2.405um,Eclipse Flux Ratio 2.405-2.47um,Eclipse Flux Ratio 2.47-2.535um,Eclipse Flux Ratio 2.535-2.6um,Eclipse Flux Ratio 2.6-2.665um,Eclipse Flux Ratio 2.665-2.73um,Eclipse Flux Ratio 2.73-2.795um,Eclipse Flux Ratio 2.795-2.86um,Eclipse Flux Ratio 2.86-2.925um,Eclipse Flux Ratio 2.925-2.99um,Eclipse Flux Ratio 2.99-3.055um,Eclipse Flux Ratio 3.055-3.12um,Eclipse Flux Ratio 3.12-3.185um,Eclipse Flux Ratio 3.185-3.25um,Eclipse Flux Ratio 3.25-3.315um,Eclipse Flux Ratio 3.315-3.38um,Eclipse Flux Ratio 3.38-3.445um,Eclipse Flux Ratio 3.445-3.51um,Eclipse Flux Ratio 3.51-3.575um,Eclipse Flux Ratio 3.575-3.64um,Eclipse Flux Ratio 3.64-3.705um,Eclipse Flux Ratio 3.705-3.77um,Eclipse Flux Ratio 3.77-3.835um,Eclipse Flux Ratio 3.835-3.9um
173,HATS-35b,0.0007337851152485024,0.0007801791394317126,0.000825987757211622,0.0008711327835984542,0.0009155515501771328,0.0009591948206862587,0.0010020249225696554,0.0010440140872630085,0.0010851429866473301,0.0011253994502044683,0.0011647773461745557,0.001203275609881074,0.0012408974029558385,0.0012776493881823938,0.0013135411058878338,0.0013485844391186328,0.001382793156149575,0.001416182520141812,0.0014487689569544497,0.0014805697732066306,0.0015116029176771466,0.0015418867800159118,0.00157144002153003,0.0016002814335031807,0.001628429819118064,0.0016559038955859858,0.0016827222135531973,0.001708903091258214,0.0017344645612651598,0.0017594243279018297
174,WASP-94Ab,0.00023428836467558422,0.00025838375742764024,0.0002830581266725602,0.0003082162347300832,0.00033376907862238387,0.0003596341255278987,0.00038573536581936184,0.0004120032274993956,0.0004383743883323356,0.0004647915152417749,0.0004912029546843336,0.0005175623927184327,0.0005438284993081463,0.0005699645679558131,0.0005959381589518164,0.0006217207522739975,0.0006472874143760667,0.0006726164816957903,0.0006976892626208995,0.000722489758814422,0.0007470044061713692,0.0007712218352136988,0.0007951326503956462,0.0008187292275587155,0.0008420055286219093,0.0008649569324997899,0.000887580081193933,0.0009098727399906199,0.0009318336707100001,0.0009534625169822178
175,HAT-P-24b,0.0002565264440752092,0.0002797651046950482,0.00030329755708456983,0.000327041949218493,0.0003509241774571098,0.00037487759929907805,0.00039884265363170025,0.0004227664230983674,0.0004466021650665897,0.000470308831042292,0.0004938505890511762,0.0005171963593003019,0.0005403193701553769,0.0005631967389521538,0.000585809080256347,0.0006081401427703621,0.00063017647505288,0.00065190711948374,0.0006733233334028547,0.0006944183360230964,0.0007151870795197176,0.0007356260425988307,0.0007557330448182365,0.0007755070799550629,0.0007949481667705802,0.0008140572156014682,0.0008328359092998001,0.0008512865971446005,0.0008694122004512703,0.0008872161287080466
176,WASP-31b,0.0003729823219370072,0.00040905669252100195,0.0004457923012350091,0.00048305321229631453,0.0005207143501114027,0.0005586614426174962,0.0005967907529058826,0.0006350086603356702,0.0006732311399971943,0.0007113831788653832,0.0007493981582059436,0.0007872172245969232,0.0008247886661084164,0.0008620673055422053,0.0008990139189795585,0.0009355946850460083,0.0009717806681252753,0.0010075473371110226,0.0010428741200662359,0.0010777439942758192,0.0011121431105550821,0.0011460604502558,0.0011794875131447833,0.0012124180341796405,0.0012448477271427224,0.001276774053093779,0.001308196011646467,0.0013391139531495472,0.0013695294099497378,0.0013994449450216591
177,WASP-183b,0.00014198790733632656,0.00016427555299719943,0.0001882204853270532,0.00021375804639401814,0.00024081508665194345,0.0002693119538246613,0.00029916428896243827,0.00033028461910908266,0.000362583746109717,0.00039597193828022387,0.00043035993650575766,0.0004656597893411357,0.0005017855332861094,0.0005386537349675829,0.0005761839117748575,0.000614298846797408,0.000652924812889441,0.0006919917194690264,0.0007314331943536626,0.0007711866116115988,0.0008111930751196548,0.0008513973662969605,0.0008917478633503123,0.0009321964383316117,0.0009726983373749662,0.0010132120486498035,0.0010536991618326059,0.0010941242222576417,0.001134454582349113,0.0011746602524556407
178,HAT-P-66b,0.00042376254187048674,0.0004532084482587929,0.0004824533136957509,0.0005114318029345541,0.000540089105798049,0.0005683797451777725,0.0005962664682770024,0.000623719229708813,0.0006507142690379609,0.0006772332812949318,0.0007032626763715597,0.0007287929216304701,0.0007538179612224645,0.0007783347052806966,0.0008023425821813755,0.000825843147306392,0.0008488397421266284,0.000871337197884196,0.0008933415786448748,0.0009148599589897371,0.0009359002320985181,0.0009564709444350876,0.0009765811536706897,0.0009962403068703605,0.0010154581363212383,0.001034244570699187,0.0010526096595539043,0.0010705635093448509,0.001088116229483443,0.0011052778870336726
179,WASP-63b,0.00015468093498523843,0.00016966021980177192,0.000184917809678651,0.0002003971172040789,0.00021604600847816133,0.0002318167943988223,0.0002476661321281176,0.0002635548621165401,0.0002794478010478283,0.00029531350676805895,0.00031112402765525046,0.00032685464591051833,0.00034248362183477956,0.00035799194421783255,0.00037336309043391994,0.00038858279864049515,0.0004036388535539307,0.00041852088657475645,0.0004332201905113817,0.0004477295487682242,0.0004620430785914314,0.0004761560877783021,0.0004900649441352431,0.0005037669568978058,0.0005172602692924291,0.000530543761413162,0.0005436169626000831,0.0005564799725334463,0.0005691333902941851,0.0005815782506838036
180,HAT-P-33b,0.0004313347704566482,0.00046567777770561525,0.0005001061700217989,0.0005345193519381918,0.000568829226969939,0.0006029591916654943,0.0006368431174566194,0.0006704243524211261,0.0007036547645746957,0.0007364938403924004,0.0007689078463972139,0.0008008690573946989,0.0008323550519123833,0.0008633480733227856,0.0008938344537558443,0.0009238040970559616,0.0009532500165692027,0.0009821679233489166,0.0010105558603611929,0.0010384138783937642,0.0010657437495777665,0.0010925487146880484,0.00111883326067048,0.001144602925137204,0.001169864124861175,0.0011946240055820247,0.001218890310701214,0.0012426712666927483,0.0012659754832850775,0.001288811866679631
181,WASP-48b,0.0007010779960406805,0.0007442257692730954,0.0007867634793615122,0.000828624555588191,0.0008697565194699153,0.000910119019240006,0.000949682080861255,0.0009884245645703277,0.001026332811953605,0.0010633994666306014,0.0010996224510844697,0.0011350040825361721,0.0011695503116619058,0.0012032700691616278,0.0012361747065368137,0.001268277518820149,0.0012995933383501113,0.0013301381899580326,0.0013599289991116717,0.0013889833456274929,0.001417319256521928,0.0014449550324232491,0.0014719091027166247,0.0014981999052536318,0.0015238457870324963,0.0015488649227555981,0.0015732752486046055,0.0015970944089489904,0.00162033971402789,0.0016430281069247964
182,HD219134b,1.225459909021282e-06,1.4363475326039336e-06,1.665905143311847e-06,1.9137685095817717e-06,2.1794484233595306e-06,2.4623503197423132e-06,2.7617930716112083e-06,3.0770265914792757e-06,3.4072480048800006e-06,3.7516162652620993e-06,4.109265162274917e-06,4.479314736770475e-06,4.860881160148805e-06,5.253085165999077e-06,5.655059141199066e-06,6.065952994214015e-06,6.484938922384699e-06,6.911215199244956e-06,7.344009098761727e-06,7.782579066953589e-06,8.226216243477305e-06,8.67424542713103e-06,9.126025570293172e-06,9.580949878450054e-06,1.0038445582407647e-05,1.0497973442696853e-05,1.0959027038166517e-05,1.1421131883867377e-05,1.1883844417081e-05,1.2346750884733898e-05
