,Planet Name,Noise Estimate 1.95-2.6um,Noise Estimate 2.6-3.25um,Noise Estimate 3.25-3.9um
70,HATS-58Ab,4.407315484169206e-05,6.107559505835492e-05,7.99539447945612e-05
71,WASP-139b,5.60681849752783e-05,7.58790863414281e-05,9.794200948459928e-05
72,HAT-P-2b,1.160874409532399e-05,1.5937997488084613e-05,2.0748765799108228e-05
73,TOI-163b,3.380393534570099e-05,4.652225320287091e-05,6.065156929941429e-05
74,TOI-1478b,2.4228922596667512e-05,3.294724101132227e-05,4.2648191279148596e-05
75,WASP-136b,1.6541537681789527e-05,2.270205361524933e-05,2.9548047638103605e-05
76,HATS-4b,9.858798359428451e-05,0.00013363808230671675,0.0001726605085698521
77,L98-59b,1.944055958950488e-05,2.4899002446286422e-05,3.110880265258171e-05
78,TOI-2076b,1.0963324340936658e-05,1.4803970852884961e-05,1.9083141925767478e-05
79,HAT-P-69b,2.1259269483173495e-05,2.951753580282774e-05,3.868596734029321e-05
80,EPIC211945201b,2.127308531962228e-05,2.9107951257827203e-05,3.7817813804632936e-05
81,K2-34b,4.546440372118517e-05,6.229626025409856e-05,8.100455935042688e-05
82,WASP-61b,5.4859027242731926e-05,7.528074549200793e-05,9.797509948216375e-05
83,KELT-21b,3.779875767866399e-05,5.257057454292075e-05,6.896915978228091e-05
84,HAT-P-16b,3.278263147908402e-05,4.4934387142686135e-05,5.844029100215873e-05
85,WASP-174b,6.390274701329241e-05,8.784819251585061e-05,0.00011445318726057847
86,WASP-130b,3.146474388893377e-05,4.280548759817934e-05,5.542351665886857e-05
87,KOI-12b,2.722897311210488e-05,3.760455586511754e-05,4.9127652869570294e-05
88,WASP-37b,7.31960109471901e-05,9.984033692247593e-05,0.00012947332044042204
89,HD191939c,9.870394569884028e-06,1.3366868258698358e-05,1.7260303538349523e-05
90,WASP-83b,4.8444740040596266e-05,6.578495890899212e-05,8.508417862189579e-05
91,WASP-46b,8.194997265080424e-05,0.00011144337425700029,0.00014426068535114138
92,XO-4b,3.1665602004489514e-05,4.353022170914595e-05,5.67126416959972e-05
93,WASP-170b,7.727472215364818e-05,0.00010508552355801441,0.0001360306052291881
94,HD191939b,1.174588538894841e-05,1.5906730117445353e-05,2.0539963798255358e-05
95,HD86226c,8.047727420332558e-06,1.098714983946989e-05,1.4255849555987155e-05
96,TOI-481b,1.988886269369107e-05,2.710272155143714e-05,3.512691604586211e-05
97,WASP-169b,4.005495873744193e-05,5.486854031243027e-05,7.13341434696261e-05
98,Kepler-138b,3.3027625511619823e-05,4.305797422074086e-05,5.436259122714487e-05
99,TOI-4010d,4.25195915065002e-05,5.7160302061027044e-05,7.348888704174558e-05
100,WASP-33b,1.3596958517046238e-05,1.88845290883329e-05,2.4754767735887095e-05
101,HATS-1b,5.73294269460113e-05,7.827669833240137e-05,0.00010157017372139962
102,HD106315c,1.1996066013723554e-05,1.6477126737903258e-05,2.1456340522576116e-05
103,XO-6b,2.098282343614282e-05,2.8948354674243426e-05,3.779560607300352e-05
104,HAT-P-26b,4.232213538765157e-05,5.7030737515839125e-05,7.342605403992905e-05
105,TOI-125b,2.6928760630619637e-05,3.6450090111759395e-05,4.705339968995447e-05
106,TOI-431d,9.4992676774914e-06,1.2740528000667837e-05,1.635751474751492e-05
107,KELT-18b,2.3000289844956426e-05,3.171488183572779e-05,4.139455239444995e-05
108,TOI-892b,4.197155355219133e-05,5.760360272147678e-05,7.497499928348379e-05
109,DSTucAb,8.977667983159614e-06,1.2174569095605885e-05,1.5733505730622168e-05
110,WASP-105b,3.607457946195186e-05,4.860335310756701e-05,6.256941632658111e-05
111,TOI-776b,1.6210761320006944e-05,2.102833846666896e-05,2.6470858115664642e-05
112,HATS-42b,9.515134468922432e-05,0.00013025608199488165,0.00016927895622676826
113,WASP-177b,5.841538537874382e-05,7.86204876513311e-05,0.00010114886676174545
114,HAT-P-13b,2.965859923029252e-05,4.036584917156501e-05,5.227819226409652e-05
115,WASP-103b,5.117212225477731e-05,7.009718000743527e-05,9.11327742089357e-05
116,HATS-27b,6.470581336356573e-05,8.899253430897829e-05,0.0001159754432337085
