,Planet Name,Noise Estimate 1.1-1.95um
290,WASP-43b,2.4808110588513323e-05
291,HD189733b,3.3001517627820523e-06
292,WASP-173Ab,2.076722372476643e-05
293,WASP-172b,1.5359346835909954e-05
294,TOI-1333b,6.644747085302329e-06
295,TOI-4479b,2.9400845794172485e-05
296,WASP-148b,2.345995157169335e-05
297,AUMicb,1.8526487607987552e-06
298,WASP-12b,2.02113580558775e-05
299,TOI-4515b,2.0068112890206252e-05
300,LHS1678b,1.9176756813516808e-05
301,LHS1678c,1.547529238489943e-05
302,LHS1678d,1.7162929514208678e-05
303,TOI-1994b,1.2621504886315952e-05
304,GJ806b,8.284909797360412e-06
305,Kepler-91b,2.2484119345610113e-05
306,TOI-3688Ab,2.378404442748599e-05
307,LHS1478b,2.5976878849376713e-05
308,Kepler-1658b,2.353171826169681e-05
309,GJ9827b,9.295604445949637e-06
310,GJ9827c,7.720111858752528e-06
311,GJ9827d,9.42118368462819e-06
312,LTT1445Ab,6.382260087832401e-06
313,KELT-4Ab,1.0205227279616327e-05
314,HAT-P-54b,2.652297194287652e-05
315,MASCARA-4b,4.9995847090339684e-06
316,HATS-70b,4.494342778584263e-05
317,WASP-52b,2.903140965766975e-05
318,WASP-7b,8.420739335207841e-06
319,HAT-P-44b,3.4225708596378776e-05
320,KELT-14b,1.8683710209661128e-05
321,WASP-192b,3.7154619668878944e-05
322,WASP-162b,2.2400925556903203e-05
323,TOI-169b,3.566982533831722e-05
324,GJ1132b,1.0475176722995621e-05
325,HD63433c,1.8565354481715428e-06
326,HATS-52b,5.267122844397614e-05
327,HATS-57b,2.8732012464334522e-05
328,KELT-15b,1.5576198223973607e-05
329,HD202772Ab,3.6225216507723704e-06
330,HATS-10b,4.1326737471024356e-05
331,K2-198d,1.3534216643912587e-05
332,HATS-64b,2.802413631838208e-05
333,K2-260b,2.612397102876537e-05
334,WASP-180Ab,1.5834437661541632e-05
335,TOI-674b,1.711474820192365e-05
336,TrES-3b,2.3711870548521383e-05
337,WASP-10b,2.2524643959455658e-05
338,TOI-1789b,1.0058952838104937e-05
339,KELT-1b,1.4499192815859368e-05
340,WASP-107b,1.2094692827667034e-05
341,WASP-36b,3.169062245623536e-05
342,Kepler-18c,3.415701782437069e-05
343,HAT-P-68b,4.179492056459628e-05
344,TOI-1807b,1.1753794708924076e-05
345,HAT-P-17b,9.11855893695441e-06
346,HATS-45b,4.526238626556877e-05
347,TOI-1728b,1.6508781597849835e-05
348,HAT-P-3b,1.975804398333038e-05
349,WASP-95b,9.198953751898778e-06
350,HATS-31b,2.7624336686601452e-05
351,KELT-19Ab,9.078074367114502e-06
352,WASP-87b,1.357062718218038e-05
353,Kepler-447b,3.800497556978647e-05
354,Kepler-1656b,1.4156853163908403e-05
355,TOI-4010c,2.289210226140374e-05
356,HATS-55b,4.501359311820311e-05
357,Kepler-450b,1.4168271047601719e-05
358,K2-155c,1.4386929347637372e-05
359,WASP-13b,1.3372103010539721e-05
360,WASP-58b,1.9048348053924377e-05
361,WASP-119b,2.229169201622679e-05
362,HAT-P-52b,4.479290387382572e-05
363,WASP-4b,3.2233147523390335e-05
364,HATS-5b,2.702970823689828e-05
365,Qatar-7b,3.237896395062228e-05
366,WASP-114b,3.1993423229532214e-05
367,55Cnce,1.7742599157309639e-06
368,WASP-160Bb,3.2448845942275625e-05
369,WASP-142b,3.920858163489363e-05
370,HATS-29b,2.827858328706478e-05
371,K2-140b,2.6189644416718636e-05
372,WASP-50b,2.6267727713883782e-05
373,TOI-431b,4.514998715231284e-06
374,TOI-172b,1.3657285391668878e-05
375,TOI-2076c,4.543085302379307e-06
376,WASP-90b,1.7289411584909868e-05
377,TOI-269b,2.2235430015588577e-05
378,HAT-P-50b,2.1777206531794354e-05
379,TrES-1b,1.74090270406127e-05
380,WASP-106b,1.5637129039372377e-05
381,K2-266b,4.097528015815121e-05
382,TOI-201b,6.44850440102591e-06
383,WASP-88b,1.3762822268187367e-05
384,HATS-39b,3.692680188873946e-05
385,WASP-168b,2.831196923996679e-05
386,HD2685b,8.878847676958368e-06
387,K2-237b,1.9858804319767207e-05
388,HD149026b,3.842817796678431e-06
389,HAT-P-39b,2.826391121924198e-05
390,TOI-270c,9.258774887851173e-06
391,HAT-P-30b,1.648645425978427e-05
392,LP791-18b,7.410556040169455e-05
393,HAT-P-12b,2.568108963934944e-05
394,TOI-421c,8.57458390558801e-06
395,TOI-700c,1.798710648419559e-05
396,TOI-451d,1.0894459655070216e-05
397,NGTS-2b,1.29715714089253e-05
398,WASP-89b,3.6109483934749617e-05
399,WASP-161b,1.1965840952066836e-05
400,WASP-68b,8.663815405122319e-06
401,TOI-904b,1.157430868757884e-05
402,KELT-8b,9.584297454169502e-06
403,Qatar-5b,3.014184182996316e-05
404,HATS-13b,4.603958480875737e-05
405,TOI-1518b,7.619817873755547e-06
406,KOI-94d,2.4287005461193143e-05
407,WASP-8b,7.0877729936939545e-06
408,WASP-3b,1.3788939309780218e-05
409,WASP-186b,1.565843066618857e-05
410,WASP-175b,3.814249839351535e-05
411,WASP-164b,4.153832056896735e-05
412,HAT-P-38b,2.6090635893981056e-05
413,HD332231b,3.6093327247971114e-06
414,WASP-144b,5.296222592170133e-05
415,TOI-125c,1.2493728421103575e-05
416,WASP-75b,2.3562411049508795e-05
417,HAT-P-40b,1.2073992729677381e-05
418,WASP-66b,2.059526859747364e-05
419,WASP-17b,1.604065101041617e-05
420,WASP-79b,1.0955246363812808e-05
421,WASP-14b,9.06266555339813e-06
422,HD219666b,1.011417606732006e-05
423,WASP-120b,1.4480096746392719e-05
424,HATS-7b,3.470922771622152e-05
425,HAT-P-34b,1.1701518436915936e-05
426,HATS-30b,2.8364170663853524e-05
427,TOI-561c,8.575211933886238e-06
428,TOI-905b,1.8915247909183702e-05
429,WASP-34b,1.4923958650275764e-05
430,WASP-67b,2.008646110510645e-05
431,WASP-11b,1.4360156157997386e-05
432,HAT-P-41b,1.3864185286669027e-05
433,HAT-P-43b,4.10567912086083e-05
434,HAT-P-23b,3.0216125438718725e-05
435,TOI-2158b,1.11011819231793e-05
436,WASP-44b,4.311322722884495e-05
437,WASP-55b,2.216793070939337e-05
438,WASP-156b,1.865370824376254e-05
439,WASP-49b,1.9858725437040122e-05
440,TrES-4b,2.0470685312863307e-05
441,HD89345b,4.951683131459011e-06
442,GJ1252b,1.773943933473238e-05
443,WASP-23b,2.9698803455924048e-05
444,HD108236d,5.6901791475441865e-06
445,WASP-113b,1.9179097912171362e-05
446,L98-59c,8.987070717361634e-06
447,HAT-P-18b,2.4178133525709977e-05
448,HAT-P-7b,1.3760806688301296e-05
