,Planet Name,ESM Estimate 1.1-1.1425um,ESM Estimate 1.1425-1.185um,ESM Estimate 1.185-1.2275um,ESM Estimate 1.2275-1.27um,ESM Estimate 1.27-1.3125um,ESM Estimate 1.3125-1.355um,ESM Estimate 1.355-1.3975um,ESM Estimate 1.3975-1.44um,ESM Estimate 1.44-1.4825um,ESM Estimate 1.4825-1.525um,ESM Estimate 1.525-1.5675um,ESM Estimate 1.5675-1.61um,ESM Estimate 1.61-1.6525um,ESM Estimate 1.6525-1.695um,ESM Estimate 1.695-1.7375um,ESM Estimate 1.7375-1.78um,ESM Estimate 1.78-1.8225um,ESM Estimate 1.8225-1.865um,ESM Estimate 1.865-1.9075um,ESM Estimate 1.9075-1.95um
598,TOI-712b,8.719314259719971e-07,1.5588355721874413e-06,2.6677848905547127e-06,4.390299061221146e-06,6.974817080499326e-06,1.0733778904307062e-05,1.6049280818077415e-05,2.3376919767992022e-05,3.324755739987579e-05,4.626686150379339e-05,6.31126084057418e-05,8.452984453580357e-05,0.00011132410190551229,0.00014435293653042,0.00018451610958093622,0.00023274475899597827,0.00028998991672219115,0.00035721071685499475,0.00043536261640653466,0.0005253859169134198
599,WASP-193b,0.06599726679042738,0.08461189088597822,0.1062764427595384,0.13106594787277362,0.15900497704432603,0.1900702386158687,0.22419450662035526,0.2612714632104771,0.30116108168810757,0.3436952359045587,0.388683284287377,0.435917436738035,0.4851777667838637,0.5362367779578745,0.5888634718850595,0.6428268961997193,0.6978991738862501,0.7538580328400892,0.8104888663795718,0.8675863630789258
600,TOI-1064c,8.829216171226886e-07,1.6026559598123719e-06,2.7818062621907224e-06,4.638622136132777e-06,7.4605368250868734e-06,1.1614259034147531e-05,1.7554426497382633e-05,2.583026237848235e-05,3.708979811247578e-05,5.208137365300215e-05,7.165228232427129e-05,9.674457864297088e-05,0.00012838820273747978,0.0001676916870254039,0.00021583079567865813,0.0002740355040964429,0.00034357575539856525,0.00042574643673377893,0.0005218520038355921,0.0006331911520552493
601,TOI-1842b,0.06455247451144563,0.0807308141145348,0.09908808209199511,0.11959975689646947,0.14220688688503416,0.16682044938720408,0.19332611534189276,0.22158912555053742,0.2514590517920738,0.2827742784214201,0.31536609443770514,0.3490623310719647,0.38369051566790036,0.4190805397258413,0.4550668585496213,0.49149025322265966,0.5281991938741641,0.5650508475089446,0.6019117750482389,0.6386583614880686
602,Kepler-1517b,1.6967019847977967,1.817368355735346,1.9317455092785665,2.039461028014803,2.1402985916070074,2.2341709372684733,2.3210954973108078,2.4011729550233407,2.474568720857568,2.5414971825183,2.6022084986106235,2.656977665704145,2.7060955780491227,2.7498618069051983,2.7885788449322653,2.8225475851638326,2.8520638303022876,2.8774156542617537,2.8988814627228647,2.916728622237038
603,TOI-1231b,1.3956368951312256e-13,4.836020171861484e-13,1.532214859770378e-12,4.479353001527639e-12,1.2178988856889913e-11,3.101071080855923e-11,7.439681213584415e-11,1.6906897237872926e-10,3.6567676199349645e-10,7.559287824067767e-10,1.499136812335044e-09,2.861753721938625e-09,5.274202522733444e-09,9.409922271762548e-09,1.6292038678893824e-08,2.7433338875746302e-08,4.5015237176580306e-08,7.211112442338564e-08,1.1295888056610803e-07,1.7328640342808864e-07
604,Qatar-6b,0.013486936518047388,0.018819163393117108,0.025575939083881803,0.03394772910509564,0.044114524864950926,0.05624110357258287,0.0704731218731279,0.08693411961051056,0.10572344439301058,0.12691505649129683,0.15055713702406803,0.1766723990483186,0.20525898902641854,0.2362918628916893,0.2697245243248968,0.3054910208588561,0.3435081043335204,0.38367747465566954,0.4258880387269847,0.4700181290332065
605,TOI-559b,0.03343021911021329,0.04385922959804927,0.05628366777410179,0.07081430299603857,0.08753037923069,0.10647900820162925,0.127675754511895,0.15110618627214673,0.17672816061412472,0.2044746258894435,0.23425674519934725,0.26596717425773214,0.2994833567914971,0.3346707301816385,0.37138576122091704,0.40947875580087356,0.44879640665734005,0.4891840599764149,0.5304876949010652,0.5725556201260844
606,Kepler-63b,0.0004165953968148687,0.0006147025941618332,0.0008799272941699261,0.0012258496876317287,0.0016666004837854339,0.002216518832920788,0.0028898084391121336,0.0037002082582341445,0.004660690942875784,0.0057831986916764165,0.007078422738908599,0.008555629621777814,0.010222534729273676,0.012085221528708275,0.014148103286401512,0.01641392300974349,0.01888378667805042,0.021557224527319438,0.02443227513533898,0.02750558724882919
607,K2-399b,1.5082157454644944,1.5685726182982753,1.6225274118101929,1.6703700533286387,1.7124301286843477,1.7490603635973359,1.7806239043487209,1.8074847206061462,1.8300005325852478,1.848517750400288,1.86336799645331,1.8748658573547095,1.8833075781705513,1.8889704683574677,1.8921128360558515,1.8929743063862126,1.8917764111142596,1.888723362613595,1.8840029454811005,1.87778747536047
608,MASCARA-1b,13.086257654461749,13.985541292397834,14.83488816097783,15.631919999838777,16.375406642841263,17.065056540220795,17.70133040958371,18.28527902195608,18.81840448782388,19.302543434618293,19.739769957138826,20.132316022908242,20.482507014123723,20.792710207997448,21.065294183657645,21.302597360215383,21.506904093743,21.680426976461764,21.825294181243645,21.943540874589466
609,HD152843b,0.0026883782145399764,0.0036047301379634974,0.004720447954461972,0.006052122549979321,0.007613558988179812,0.009415496664553834,0.011465463944540526,0.013767753337531151,0.016323499335905954,0.019130839340955236,0.022185138072508506,0.025479257013723597,0.029003852344307298,0.032747687117422285,0.03669794587584526,0.04084054229622979,0.0451604126749918,0.04964179005412872,0.05426845549659527,0.05902396445193913
610,WASP-189b,22.228710843746246,23.724694758654024,25.134378364941895,26.45423002613803,27.68261182262784,28.81942225169174,29.86578092230952,30.823756046486476,31.69613295096233,32.486220358183516,33.19769046476315,33.83444862156786,34.40052850701177,34.9000089549404,35.33694896294788,35.71533780850866,36.03905760255355,36.31185599148296,36.53732706736444,36.71889885706379
