,Planet Name,RSM Estimate 1.1-1.1425um,RSM Estimate 1.1425-1.185um,RSM Estimate 1.185-1.2275um,RSM Estimate 1.2275-1.27um,RSM Estimate 1.27-1.3125um,RSM Estimate 1.3125-1.355um,RSM Estimate 1.355-1.3975um,RSM Estimate 1.3975-1.44um,RSM Estimate 1.44-1.4825um,RSM Estimate 1.4825-1.525um,RSM Estimate 1.525-1.5675um,RSM Estimate 1.5675-1.61um,RSM Estimate 1.61-1.6525um,RSM Estimate 1.6525-1.695um,RSM Estimate 1.695-1.7375um,RSM Estimate 1.7375-1.78um,RSM Estimate 1.78-1.8225um,RSM Estimate 1.8225-1.865um,RSM Estimate 1.865-1.9075um,RSM Estimate 1.9075-1.95um
373,TOI-431b,0.28267472175956604,0.27646944343533103,0.2702309785876737,0.2640076935393908,0.25783724135572644,0.2517486426167601,0.24576397041773462,0.23989971385144418,0.2341678809809492,0.22857689105442577,0.2231322963346961,0.21783736620195124,0.21269355989862818,0.20770090918715867,0.202858328074217,0.19816386343828105,0.19361489772853172,0.18920831275698613,0.18494062187968494,0.1808080764739377
374,TOI-172b,0.10560244598704761,0.10269693147715118,0.09985424832844204,0.09708342505853913,0.09439054224755279,0.09177940852889582,0.0892520889224556,0.08680931786753322,0.08445082215885508,0.08217557340890881,0.07998198532116155,0.07786806769039967,0.07583154643244802,0.07386995691615598,0.07198071629342291,0.07016117929573601,0.06840868100896456,0.06672056939101197,0.0650942297122575,0.06352710264030376
375,TOI-2076c,0.032617029958526486,0.03181626655317643,0.03102229830727698,0.030239471580223134,0.029471031664105935,0.0287193522015097,0.02798611805980112,0.027272471101347014,0.026579126397387715,0.025906464900019313,0.025254607355676306,0.024623473261126183,0.024012827882045604,0.023422319734837847,0.022851510441575698,0.0222998984792115,0.02176693803614439,0.021252053944942843,0.02075465346605546,0.020274135543139754
376,WASP-90b,0.6434795783178975,0.623225530500661,0.6037029924607009,0.5849209069075472,0.5668765346717564,0.5495587261381322,0.5329503911380082,0.51703036116597,0.5017747901871284,0.48715820461308684,0.47315428622910094,0.4597364516965838,0.44687827705479183,0.4345538041552494,0.42273775725363355,0.4114056913659863,0.4005340889537813,0.39010041765102976,0.38008315879763394,0.3704618142803213
377,TOI-269b,0.026310999056870468,0.026158631565315116,0.025957392961253337,0.025715861088874917,0.025441409843078792,0.02514035906240208,0.024818111046186486,0.024479272854642523,0.02412776458393971,0.02376691439881089,0.02339954140943216,0.02302802760291991,0.02265438005269641,0.02228028457724576,0.02190715193319705,0.0215361575251964,0.021168275508370152,0.020804308055335473,0.020444910462551803,0.020090612682257515
378,HAT-P-50b,0.4891517095366902,0.47408244792118376,0.4595235506475367,0.4454880333041346,0.43197914667733794,0.41899299187141675,0.4065205086491088,0.39454898602383726,0.3830632081468904,0.3720463213842062,0.3614804879793016,0.3513473761987899,0.3416285251129648,0.3323056132460365,0.32336065354204657,0.3147761319121057,0.30653510266522316,0.29862125108539944,0.29101893108072047,0.2837131840295665
379,TrES-1b,0.5448022723509864,0.5312615908417269,0.5178556037276952,0.5046543637345541,0.4917098284642171,0.47905966415890006,0.46673027199245354,0.4547391958915956,0.4430970386601686,0.43180898717446714,0.42087602661494417,0.4102959071503215,0.40006391336915165,0.3901734763710559,0.38061666022027124,0.37138454797350634,0.36246754735950565,0.3538556321223169,0.3455385318171418,0.33750588028882567
380,WASP-106b,0.11727122252688119,0.11378459416504828,0.11040289773070668,0.10713158830344967,0.10397345504002067,0.10092929353998055,0.09799842223051851,0.09517907887704478,0.0924687248426048,0.08986427825342592,0.08736229230116047,0.0849590911557303,0.08265087309438848,0.08043378825880663,0.07830399677058444,0.0762577116440736,0.07429122994104063,0.07240095484435358,0.07058341073430309,0.06883525289100739
381,K2-266b,0.15034116605314055,0.14785750628874886,0.1452599583341644,0.14258434919954438,0.13985992331215905,0.13711046065863552,0.13435521231360648,0.13160968050306268,0.12888626752066784,0.1261948147153581,0.12354304974321818,0.12093695749708859,0.11838108766407851,0.11587880972839759,0.11343252441894461,0.11104383906823465,0.10871371306649288,0.10644257852707174,0.10423044039390421,0.10207695948928602
382,TOI-201b,0.021559143919933313,0.020883941814312634,0.02023277318766671,0.01960600256185721,0.019003593776265277,0.01842522095521825,0.017870352431336573,0.017338314139407066,0.016828337402085582,0.016339594832423383,0.015871227178812203,0.015422363260508524,0.014992134630503631,0.014579686215516443,0.014184183889272325,0.013804819711890294,0.013440815397863461,0.01309142444488637,0.012755933255967026,0.012433661510592177
383,WASP-88b,0.6715155994398306,0.6503761816041194,0.630000553671237,0.6103979920627409,0.591565590370246,0.5734916721442544,0.5561583673842789,0.5395435550250368,0.523622324039238,0.5083680685352775,0.4937533042665062,0.4797502729339555,0.4663313848036608,0.45346953817060676,0.44113834511463257,0.4293122860888586,0.4179668106203729,0.407078397384818,0.39662458383992827,0.3865839732423449
384,HATS-39b,0.24546576572976328,0.23759205611933634,0.230018158293765,0.2227446280994597,0.2157679777278368,0.20908186233133877,0.20267796964912954,0.1965466856138492,0.19067759072710097,0.1850598284318163,0.17968237657919642,0.17453424550189367,0.16960462050968317,0.1648829623363937,0.16035907583023098,0.15602315472970907,0.15186580850793427,0.14787807585319537,0.14405142827471507,0.14037776649766143
385,WASP-168b,0.38586776780573934,0.3745023593233986,0.3634675723417646,0.3527832947295562,0.3424603775435401,0.33250288324771526,0.3229098165060803,0.31367645650699394,0.3047953820280916,0.2962572592442957,0.28805144608356315,0.28016645455717526,0.27259030302175785,0.2653107830740102,0.2583156602080195,0.2515928230787722,0.24513039291010796,0.23891680203072768,0.23294084854274705,0.22719173259070935
386,HD2685b,0.9653531532883722,0.933511301961975,0.9029731223195047,0.8737234526521935,0.8457337795967234,0.8189665151570437,0.7933781643430539,0.768921662862246,0.7455480930932712,0.7232079339005332,0.7018519607929831,0.6814318838891547,0.6619007894927995,0.6432134348847525,0.6253264337851137,0.6081983607991042,0.5917897962652794,0.5760633277118596,0.560983520176367,0.5465168646443311
387,K2-237b,1.0965963476879788,1.062417399447523,1.0294378376795796,0.9976793469550738,0.9671427829589659,0.9378138820815708,0.9096675864588226,0.8826713167022125,0.8567874436042774,0.831975149237865,0.8081918220490619,0.785394095993088,0.7635386176521555,0.7425826054955066,0.7224842504207265,0.7032029952785965,0.684699722352943,0.6669368710856953,0.6498785032117477,0.6334903285275241
