Wavelength [um],ESM,TSM,RSM
2.52525,15.25575327738575,4.790697140193518,2.3112448609422214
2.54475,15.394238411980524,4.749281520386726,2.2912641283598814
2.56425,15.529918463539914,4.708418032929247,2.27154976892065
2.58375,15.662808624436284,4.66809763700419,2.252097420933322
2.60325,15.792925587401044,4.628311432812759,2.232902790740078
2.62275,15.92028744504798,4.589050661550398,2.2139616527049792
2.64225,16.044913593609234,4.550306705153892,2.1952698490919507
2.66175,16.166824640782703,4.512071085841848,2.1768232898430946
2.68125,16.286042317591335,4.47433546547085,2.158617952268069
2.70075,16.402589394137635,4.437091644723745,2.1406498806524783
2.72025,16.51648959915439,4.400331562150691,2.1229151857952386
2.73975,16.627767543235485,4.364047293077667,2.1054100444819888
2.75925,16.736448645629487,4.328231048395899,2.0881306989010566
2.77875,16.842559064492633,4.292875173248309,2.071073456009747
2.79825,16.946125630483525,4.257972145624016,2.054234686856264
2.81775,17.04717578358192,4.223514574870935,2.0376108258621217
2.83725,17.14573751302985,4.189495200139424,2.0211983700712937
2.85675,17.24183930027798,4.155906888764734,2.0049938783698327
2.87625,17.335510064828046,4.122742634596976,1.9889939706801731
2.89575,17.426779112863493,4.089995556286453,1.9731953271339
2.91525,17.515676088569116,4.0576588955331125,1.9575946872272052
2.93475,17.602230928025552,4.025726015304163,1.9421888489609898
2.95425,17.686473815582154,3.9941903980271207,1.9269746679691058
2.97375,17.768435142614365,3.9630456437648633,1.9119490566379242
2.99325,17.848145468556883,3.932285468374962,1.8971089832183134
3.01275,17.92563548412884,3.9019037016601423,1.8824514709333404
3.03225,18.000935976653903,3.8718942855127594,1.867973597083082
3.05175,18.074077797387623,3.842251272057274,1.8536724921484744
3.07125,18.145091830765423,3.812968821794066,1.8395453388958056
3.09075,18.214008965487196,3.7840412017475344,1.8255893714832767
3.11025,18.280860067357622,3.755462783621251,1.811801874570967
3.12975,18.345675953803273,3.7272280419625528,1.7981801824353496
3.14925,18.408487369990993,3.6993315523387906,1.7847216780894366
3.16875,18.469324966474172,3.6717679895272117,1.7714237924094942
3.18825,18.528219278294742,3.6445321257199024,1.7582840032690306
3.20775,18.585200705478293,3.617618828746456,1.7452998346813295
3.22725,18.640299494845685,3.591023060313547,1.7324688559501447
3.24675,18.693545723090224,3.564739874265081,1.7197886808303184
3.26625,18.744969281054228,3.5387644148628636,1.7072569666982989
3.28575,18.794599859140813,3.5130919150876476,1.6948714137324916
3.30525,18.842466933815814,3.4877176949634916,1.6826297641048544
3.32475,18.88859975514049,3.4626371599050083,1.6705298011835374
3.34425,18.933027335277536,3.437845799087086,1.6585693487463642
3.36375,18.97577843793226,3.4133391838396547,1.6467462702063949
3.38325,19.01688156867403,3.389112966066545,1.6350584678491151
3.40275,19.05636496609269,3.365162876688805,1.623503882081422
3.42225,19.09425659374594,3.3414847241126795,1.612080490692509
3.44175,19.130584132863344,3.318074392723728,1.6007863081273632
3.46125,19.16537497575535,3.294927841405135,1.58961938477193
3.48075,19.198656219894932,3.2720411020813285,1.5785778062504927
3.50025,19.23045466264071,3.249410278287833,1.5676596927357043
3.51975,19.260796796555493,3.227031543765402,1.5568631982703351
3.53925,19.289708805292467,3.2049011410793353,1.546186510101171
3.55875,19.31721656002309,3.1830153802648526,1.5356278480254797
3.57825,19.34334561636322,3.1613706374961734,1.5251854637489177
3.59775,19.36812121178012,3.1399633537811074,1.5148576402557425
3.61725,19.391568263446697,3.1187900336799346,1.504642691190742
3.63675,19.41371136651841,3.0978472440486575,1.4945389602529253
3.65625,19.434574792807368,3.077131612806333,1.484544820600828
3.67575,19.454182489830114,3.0566398277262783,1.474658674269337
3.69525,19.472558080204543,3.036368635250612,1.4648789515977716
3.71475,19.48972486137877,3.016314839328527,1.4552041106694156
3.73425,19.505705805665407,2.9964753002770865,1.445632636761914
3.75375,19.520523560563177,2.9768469336644667,1.4361630418085007
3.77325,19.5342004493544,2.957426709216436,1.4267938638704352
3.79275,19.546758471948895,2.9382116497439372,1.4175236666196196
3.81225,19.55821930596325,2.9191988300923333,1.4083510388316696
3.83175,19.568604308025048,2.900385376112824,1.39927459388968
3.85125,19.577934515275587,2.881768463653965,1.3902929692976878
