,Planet Name,Full Phase Curve SNR 1.1-1.1425um,Full Phase Curve SNR 1.1425-1.185um,Full Phase Curve SNR 1.185-1.2275um,Full Phase Curve SNR 1.2275-1.27um,Full Phase Curve SNR 1.27-1.3125um,Full Phase Curve SNR 1.3125-1.355um,Full Phase Curve SNR 1.355-1.3975um,Full Phase Curve SNR 1.3975-1.44um,Full Phase Curve SNR 1.44-1.4825um,Full Phase Curve SNR 1.4825-1.525um,Full Phase Curve SNR 1.525-1.5675um,Full Phase Curve SNR 1.5675-1.61um,Full Phase Curve SNR 1.61-1.6525um,Full Phase Curve SNR 1.6525-1.695um,Full Phase Curve SNR 1.695-1.7375um,Full Phase Curve SNR 1.7375-1.78um,Full Phase Curve SNR 1.78-1.8225um,Full Phase Curve SNR 1.8225-1.865um,Full Phase Curve SNR 1.865-1.9075um,Full Phase Curve SNR 1.9075-1.95um
215,HAT-P-29b,0.1557388841366432,0.19866922810937515,0.24837980670335708,0.30499022275993076,0.36850801924446,0.43883608087977877,0.515782704415948,0.599073386734828,0.6883635105132677,0.7832512551420936,0.8832902088511435,0.988001295596868,1.096883751136689,1.2094249842514813,1.325109241055684,1.4434250539997402,1.5638715045776006,1.685963362309882,1.8092351847296115,1.933244476159234
216,K2-31b,1.9333276286470724,2.3164052711798,2.7322128753040484,3.177901590076953,3.650301535042876,4.146036727417281,4.661626864107769,5.1935744836459214,5.738437228631686,6.292885764619632,6.8537484514161955,7.41804417255336,7.983004867035207,8.546089324038325,9.104989736111095,9.657632390514785,10.202173734722637,10.736992897270884,11.260681590474068,11.772032174349787
217,HAT-P-37b,0.18011405221123603,0.22866846962015214,0.2846273430113473,0.34807537806032285,0.41897583231088337,0.49718007795865904,0.5824397532011387,0.6744204688429434,0.7727161988474609,0.8768636567998022,0.9863561277251061,1.1006563760926256,1.2192083809042717,1.3414477558438456,1.4668107971856528,1.5947421665293846,1.7247012621229074,1.8561673644596142,1.9886436618205852,2.121660272061598
218,XO-2Nb,0.4313215089799513,0.5398324888030476,0.6630847109901655,0.8009420263819744,0.9530353090272639,1.1187908587975623,1.2974617450447459,1.4881601145576953,1.6898889248649298,1.9015719743774009,2.122081461646889,2.3502626074882484,2.5849551147003758,2.825011424618848,3.0693118645035122,3.3167768726870026,3.566376547415783,3.8171377977687433,4.068149387409912,4.318565159687378
219,HAT-P-32b,7.272291559935201,8.300168907372331,9.357908148264888,10.436002902358062,11.525535640086874,12.618300456594435,13.706876212741122,14.784659720480242,15.84586786734016,16.885516487662827,17.899382593979404,18.88395540544383,19.83638052428721,20.75440065239725,21.6362954211712,22.48082222680404,23.287159409739928,24.05485267655872,24.783765319040835,25.474032522776657
220,KPS-1b,0.5422437758096196,0.6583679219543751,0.7861929972941036,0.9250209820002133,1.0740080838382684,1.232200945820066,1.3985705816589702,1.5720430441032138,1.7515262732003816,1.9359329127413436,2.124199132858341,2.3152996686685503,2.5082593938057434,2.7021618078392144,2.896154840463469,3.0894543734525364,3.2813458621446308,3.471184408202587,3.65839359948829,3.8424633946496787
221,XO-1b,0.25024589084503873,0.3251067975696235,0.4134166384128304,0.5157501315405121,0.6324634356773455,0.7636966364688954,0.9093834785766332,1.069266641959547,1.2429169366573,1.4297549539745862,1.6290739227281887,1.8400627468604984,2.0618284242177953,2.2934172522817318,2.5338344076980523,2.782061639457181,3.037072940386215,3.2978481599285074,3.56338459579374,3.832706656226557
222,WASP-190b,0.3690996962256621,0.44501734305321416,0.5279398981059913,0.6173409914504511,0.7126164099799642,0.8131077915098961,0.9181241008512562,1.0269604347741796,1.138913971846828,1.2532970796571783,1.3694477265566534,1.4867374297167375,1.6045770174213119,1.7224205012579483,1.8397673516692488,1.9561634549234044,2.071201006136385,2.1845175653614937,2.2957944746867263,2.4047548056116184
223,WASP-92b,2.2325166785269306,2.537631376705359,2.8501101573569922,3.1671567887336414,3.4861806305840193,3.804826225671349,4.120988696669255,4.432817997883354,4.738714739113141,5.037319906347999,5.327500403543999,5.608331962917825,5.879080634687909,6.139183777830892,6.388231231855737,6.625947152882396,6.85217284063208,7.066850760757196,7.270009873686563,7.461752311636252
224,HAT-P-19b,0.03377488203803116,0.0470137791744718,0.06374947103104493,0.0844391629367418,0.10951264850474063,0.13936104194068938,0.17432760085503765,0.2147007986324125,0.2607096482907974,0.3125211593162045,0.37023972445259806,0.4339081810945227,0.5035102664563853,0.5789741812880353,0.6601769880062225,0.7469495907798537,0.8390820732220324,0.9363292006374916,1.0384159257876486,1.1450427681113224
225,HAT-P-67b,6.574982736884718,7.4264963261358625,8.292166929311405,9.164377382133393,10.036203821054823,10.901468100735672,11.754753829431651,12.591395012602801,13.407444985500526,14.199631967940855,14.965306304986651,15.702383326634976,16.409284792258052,17.084881083362994,17.728435660166348,18.33955278603606,18.91812912916571,19.46430955320338,19.978447189726555,20.461067729387022
226,K2-107b,1.1579267121470849,1.3342978069289488,1.517758568269511,1.7066643360345788,1.8994287368735514,2.0945533478352965,2.2906483696711586,2.4864456823908796,2.680805658307593,2.8727190207841566,3.0613049003673347,3.2458060819878383,3.4255822758979813,3.6001020924024862,3.768934262528774,3.9317385264404745,4.088256509219963,4.238302818855172,4.381756532309267,4.518553180524109
227,HAT-P-1b,0.6555482504651499,0.824497155705617,1.0173283389962806,1.2339805107319088,1.47400764783049,1.7366205817481584,2.0207345836684123,2.325019644609403,2.6479508116183976,2.9878565857087285,3.3429639693346607,3.7114392492033264,4.0914240073024715,4.481066172023542,4.878546160589174,5.2820983347503825,5.690028105750875,6.100725093284511,6.51267277690479,6.924455085982579
228,WASP-16b,0.3795404716032116,0.47869570560029256,0.5922006485522014,0.7200810644773039,0.8621300263841495,1.0179309215900612,1.18688450793323,1.3682380270926926,1.5611147542742494,1.7645427355396617,1.9774818067150692,2.19884828584253,2.42753697856056,2.662440332786198,2.9024647294968418,3.1465440060899694,3.393650384270974,3.6428030221772403,3.8930744364766845,4.1435950497374385
