,Planet Name,TSM Estimate 1.1-1.1425um,TSM Estimate 1.1425-1.185um,TSM Estimate 1.185-1.2275um,TSM Estimate 1.2275-1.27um,TSM Estimate 1.27-1.3125um,TSM Estimate 1.3125-1.355um,TSM Estimate 1.355-1.3975um,TSM Estimate 1.3975-1.44um,TSM Estimate 1.44-1.4825um,TSM Estimate 1.4825-1.525um,TSM Estimate 1.525-1.5675um,TSM Estimate 1.5675-1.61um,TSM Estimate 1.61-1.6525um,TSM Estimate 1.6525-1.695um,TSM Estimate 1.695-1.7375um,TSM Estimate 1.7375-1.78um,TSM Estimate 1.78-1.8225um,TSM Estimate 1.8225-1.865um,TSM Estimate 1.865-1.9075um,TSM Estimate 1.9075-1.95um
161,WASP-167b,8.053959675711761,7.782394033793136,7.52255314448222,7.274190843811844,7.036967495649251,6.810482862083499,6.594300161777083,6.38796358383629,6.191010936271077,6.00298267566733,5.823428245981433,5.651910418754433,5.4880081523156985,5.331318357573512,5.181456861017202,5.038058783004274,4.900778494981501,4.769289278370631,4.643282777019908,4.5224683118581925
162,K2-232b,14.398041474374121,13.982353248328092,13.577858690327012,13.185449985854914,12.805661859365523,12.43875814969794,12.08479878172843,11.743691576984723,11.415232325545475,11.099135757147678,10.795059447180204,10.502622230891129,10.221418343921458,9.951028234027065,9.691026778291754,9.440989477576341,9.200497074178122,8.969138941160468,8.74651551603113,8.53223999243161
163,TOI-157b,3.0531681890567164,2.973703705138009,2.8954573399969394,2.818765169894137,2.7438686263844807,2.6709351190142594,2.6000743191859663,2.5313510206899745,2.464795299105122,2.4004105387861734,2.3381797749956617,2.2780707034314935,2.2200396345755147,2.164034611587741,2.1099978644166595,2.0578677366415383,2.007580193147471,1.9590699943718801,1.912271605233158,1.867119892932936
164,WASP-76b,30.08624789138239,29.163542246474595,28.271649543775638,27.411448420308595,26.583205911640974,25.78673986858715,25.021542616236665,24.28687503879441,23.58183806378314,22.905426849862266,22.2565717206796,21.634168931990494,21.037103634849824,20.464266847068505,19.91456782561126,19.386942912205654,18.88036167909313,18.393831013543192,17.92639763485563,17.47714942584108
165,Qatar-2b,2.5846148758573526,2.5325175274962715,2.4795540572495436,2.426228670771819,2.3729415478052847,2.3200081557873786,2.267675057384897,2.2161328295233362,2.1655266129186237,2.1159647232858054,2.0675256796410775,2.020263941124491,1.9742145904697574,1.9293971582692417,1.8858187461276943,1.8434765773694757,1.8023600800097832,1.7624525872372907,1.723732724854562,1.686175542299302
166,LP791-18d,2.5759765704940367,2.5912390426348364,2.5992704860982423,2.6009979353323107,2.59725455336445,2.5887848081155895,2.576250826465409,2.560239276353033,2.5412683442502337,2.5197945295443684,2.4962190855627324,2.4708940118167155,2.4441275529298068,2.416189193534632,2.38731416020097,2.357707454823912,2.3275474514672263,2.2969890922872316,2.266166719176142,2.235196577092171
167,HATS-22b,0.6520221965043835,0.6379672029580981,0.6238040121415054,0.609647733980965,0.595588406169129,0.58169581482125,0.5680234074220052,0.5546114661448418,0.5414896802872291,0.528679231405205,0.5161944836230312,0.5040443541402608,0.4922334246654992,0.4807628428776321,0.469631053594931,0.45883439172217705,0.4483675629074405,0.43822403289286677,0.4283963425567873,0.4188763624304929
168,HAT-P-51b,10.205853199042297,9.937275088295566,9.673154669343445,9.41456754952331,9.16227884013634,8.916811449741335,8.678499905402584,8.447532778466769,8.22398613572421,8.007849918052509,7.799048740391278,7.597458286611795,7.402918221968257,7.215242349413317,7.0342265822576655,6.859655185119012,6.69130564052413,6.5289524242053645,6.372369913627266,6.221334608145103
169,TOI-837b,5.372215839801932,5.212707400737496,5.057976475632055,4.908276867484029,4.763739717580154,4.624404379600868,4.4902421395802214,4.361174436136757,4.237086847073745,4.117839812377082,4.003276837961936,3.8932307523860703,3.7875284572823986,3.685994511685694,3.588453813322585,3.494733580694448,3.404664794161953,3.3180832190273084,3.23483010636543,3.1547526462295608
170,HAT-P-56b,3.354481484994165,3.246964208535098,3.143532348692432,3.044195124488344,2.948906259143183,2.857580231577666,2.770104464135215,2.6863484443495587,2.6061705300865543,2.529423002045202,2.455955789102329,2.3856191882515527,2.318265822992258,2.2537520253751837,2.1919387826294376,2.132692355771845,2.0758846521509704,2.0213934145122967,1.9691022743977171,1.9189007063993504
171,WASP-57b,2.0701322766660613,2.0137267344437695,1.9584795652318043,1.9045770617645041,1.8521465372167338,1.8012697190189724,1.7519932369600015,1.7043368380944501,1.6582998222222312,1.6138660831559584,1.5710080563704767,1.5296898077832861,1.4898694472116638,1.451501010227844,1.4145359211321367,1.3789241256010822,1.344614962704297,1.31155783123207,1.2797026937167177,1.2490004524560412
172,KELT-24b,3.1368540739925774,3.0370588155655596,2.940978584114227,2.848636524244823,2.760001778833733,2.6750050010841724,2.593550020912981,2.5155226040233747,2.4407970096983465,2.3692408796977547,2.300718860623362,2.2350952645564743,2.172235999387647,2.1120099449129026,2.0542899089170503,1.998953265729223,1.9458823556074891,1.8949647049197935,1.8460931130378284,1.7991656411025383
173,HATS-35b,4.576849543444848,4.435432925354429,4.298849805932789,4.167214094402494,4.040549445777158,3.9188135703865554,3.8019166999946696,3.6897356031231463,3.582124205138497,3.478921614607559,3.3799581657540365,3.2850599420137145,3.194052136020293,3.1067615181292982,3.023018222271857,2.942657009640972,2.865518133788571,2.791447902408945,2.720299009336098,2.6519306935345512
174,WASP-94Ab,24.447793921215485,23.707211145704104,22.99039245087677,22.29822317209081,21.631067686969374,20.98890477581756,20.371431053450113,19.778139966887142,19.20838206695077,18.661410907610293,18.136417900018454,17.632558668575566,17.148972863498305,16.684798932618772,16.239185010123286,15.811296815825518,15.40032325588049,15.005480259931733,14.626013269454097,14.261198699138573
175,HAT-P-24b,5.95018350476435,5.764383484150496,5.585139399316971,5.412562374573412,5.246651447078644,5.0873244119905765,4.934441173497969,4.787821402698301,4.647257863827817,4.512526440108957,4.3833936420096205,4.259622193425766,4.140975149825057,4.027218895263815,3.91812528386292,3.813473129430053,3.7130491996797974,3.616648835368683,3.524076286950904,3.4351448400629985
