,Planet Name,Full Phase Curve SNR 1.1-1.1566667um,Full Phase Curve SNR 1.1566667-1.2133333um,Full Phase Curve SNR 1.2133333-1.27um,Full Phase Curve SNR 1.27-1.3266667um,Full Phase Curve SNR 1.3266667-1.3833333um,Full Phase Curve SNR 1.3833333-1.44um,Full Phase Curve SNR 1.44-1.4966667um,Full Phase Curve SNR 1.4966667-1.5533333um,Full Phase Curve SNR 1.5533333-1.61um,Full Phase Curve SNR 1.61-1.6666667um,Full Phase Curve SNR 1.6666667-1.7233333um,Full Phase Curve SNR 1.7233333-1.78um,Full Phase Curve SNR 1.78-1.8366667um,Full Phase Curve SNR 1.8366667-1.8933333um,Full Phase Curve SNR 1.8933333-1.95um
24,V1298Taub,0.0001328526970104022,0.0002754881530794582,0.0005320731525773489,0.000966169934561443,0.0016624556570693512,0.0027284731874254032,0.004295150856447663,0.006516040451503772,0.009565320829769816,0.013634602294999479,0.018928933600856877,0.02566224470151385,0.03405221304571491,0.04431533835138146,0.0566622449450693
25,TOI-2109b,32.94146316133435,34.49861287785688,35.816413115739465,36.913193490053665,37.80853816564341,38.52224831172996,39.07333708335439,39.47989295690913,39.75884319957863,39.925520936805945,39.99395120621276,39.97688489501703,39.885546690383116,39.730041218986194,39.519449159077034
26,K2-138g,1.906261543719703e-08,5.362879060765256e-08,1.3673087195266e-07,3.2002205617421104e-07,6.950375956253724e-07,1.4134591154898473e-06,2.7122690774427986e-06,4.943040555609487e-06,8.604035002009642e-06,1.4373200131987903e-05,2.314010890926062e-05,3.6034779422188196e-05,5.445098775874247e-05,8.006303760334165e-05,0.0001148347990903676
27,K2-141c,0.0003162306026002705,0.0006270206238558753,0.0011626860405522842,0.0020342135106191472,0.0033829406962205127,0.005380889950866738,0.00822915817114688,0.01215456303449959,0.01740482561344359,0.024242463029029833,0.03293814818742984,0.04376386892738893,0.056985779932147096,0.07285797232078822,0.09161698908564538
28,TRAPPIST-1b,4.82803595502688e-10,1.726229076368058e-09,5.477129918461344e-09,1.5663210678925088e-08,4.089964885493674e-08,9.858664330736947e-08,2.2141081019834997e-07,4.6697442663591795e-07,9.312084216908645e-07,1.766034542050483e-06,3.2014871317601652e-06,5.572172554195021e-06,9.347496832805337e-06,1.5164873729170698e-05,2.3864791055405693e-05
29,TRAPPIST-1e,5.9925961504440134e-18,5.106707874010619e-17,3.5759277434419903e-16,2.1101014261219667e-15,1.0716449993890754e-14,4.768347099403532e-14,1.8872164559959414e-13,6.730155070980067e-13,2.1867782848665222e-12,6.536252581777108e-12,1.8122446205382682e-11,4.694927714476726e-11,1.1437511408457341e-10,2.6348676855149107e-10,5.768496902509308e-10
30,TRAPPIST-1f,6.387406482115603e-21,7.656775405655718e-20,7.318745013384266e-19,5.742203566239222e-18,3.7888872283682085e-17,2.1460255587538656e-16,1.0617108817178104e-15,4.656799929313355e-15,1.8341647602462764e-14,6.5593632286049e-14,2.1504544786866798e-13,6.517612471599375e-13,1.8396212164628936e-12,4.866976011084209e-12,1.2138507605616882e-11
31,TRAPPIST-1g,2.4903921070087094e-23,3.9237046619279924e-22,4.812302987572875e-21,4.743850489281327e-20,3.8607304900771666e-19,2.6533645604252933e-18,1.5698661802850546e-17,8.12842872297749e-17,3.73571263485954e-16,1.542671465572136e-15,5.7852348522753236e-15,1.9886000029189603e-14,6.316617491490844e-14,1.867418364328226e-13,5.170930508856103e-13
32,GJ3473b,0.0001493596258470278,0.00026868383457088877,0.0004560819350905687,0.0007361826653949408,0.0011372581210733774,0.0016904645419503618,0.002428872532681292,0.0033864023059883854,0.00459674142714595,0.006092264232786773,0.007903102581240275,0.010056368692380654,0.012575445714021305,0.01547957093019836,0.01878358804694796
33,TOI-2202b,0.00027211007091092855,0.0005343556766549356,0.0009821321889052347,0.0017043965247164079,0.0028132386343625213,0.004443704528135802,0.006752117906453152,0.009913106444009374,0.014115583549517424,0.01955783549274167,0.026442323658041177,0.0349704483079645,0.045337168647891175,0.057726435450142916,0.07230726156362333
34,TOI-833b,0.007736689324332807,0.01104272649051104,0.015185477168134568,0.020220745114087224,0.026181834299689736,0.03307969549169817,0.04090398260225847,0.04962538614532362,0.05919849439055875,0.06956433905483565,0.08065375197937456,0.09239045021452812,0.10469299749295173,0.1174777310537082,0.13066100570436667
35,HD28109c,8.261654861475303e-06,1.796274005554872e-05,3.6218043376787606e-05,6.839847237849787e-05,0.00012199500915493358,0.00020693943747210903,0.00033582460555697346,0.0005240012611119918,0.0007895395188076624,0.0011530456379462669,0.0016373595938306102,0.002267151971914741,0.0030684197817370143,0.004067954195685523,0.005292792117093812
