,Planet Name,ESM Estimate 1.1-1.1566667um,ESM Estimate 1.1566667-1.2133333um,ESM Estimate 1.2133333-1.27um,ESM Estimate 1.27-1.3266667um,ESM Estimate 1.3266667-1.3833333um,ESM Estimate 1.3833333-1.44um,ESM Estimate 1.44-1.4966667um,ESM Estimate 1.4966667-1.5533333um,ESM Estimate 1.5533333-1.61um,ESM Estimate 1.61-1.6666667um,ESM Estimate 1.6666667-1.7233333um,ESM Estimate 1.7233333-1.78um,ESM Estimate 1.78-1.8366667um,ESM Estimate 1.8366667-1.8933333um,ESM Estimate 1.8933333-1.95um
563,HD73583b,5.296174869784992e-05,9.98258003913662e-05,0.00017676901261528147,0.0002965168162068991,0.00047442789303215726,0.0007282619080106617,0.0010777770448403574,0.001544206047998469,0.002149653830652737,0.002916436895942208,0.0038664487908154693,0.005020571809011982,0.0063981067353167985,0.008016344889020165,0.009890237944420609
564,WASP-77Ab,2.678385919112212,3.257884180430627,3.87322794002248,4.5151765793411425,5.174797206835226,5.843770436309615,6.514534061533438,7.180423097387672,7.835718638728371,8.475575536850869,9.096031486821836,9.693953196008072,10.266883222520033,10.813027066055755,11.331181468749765
565,LTT9779b,1.464705088027631,1.6916055910087953,1.9187476961658936,2.143021196364305,2.3618510521363216,2.5731829367055825,2.7754229767285783,2.96740359394757,3.1483308261476695,3.3177034385017348,3.475282641077648,3.6210470523621905,3.7551215696301172,3.8777674999815432,3.9893537721103214
566,TOI-3364b,0.05930613813311292,0.08137832225849195,0.10794607608442049,0.13905889706468835,0.17464287026472142,0.21451605735986273,0.2584052346423686,0.3059666694730166,0.35680630179755496,0.41049509140975937,0.46658713159800896,0.5246342403888452,0.5841931108946176,0.6448374766627825,0.706165812425435
567,TOI-1634b,0.0008088318920874509,0.0012830305330900557,0.0019423344931736469,0.0028238104661180764,0.003963075153194308,0.0053927674332158605,0.007141245900442043,0.00923167178363544,0.011681442211104655,0.014501829173950107,0.017698039027657507,0.021269498392564996,0.02521011150894873,0.02950891833141371,0.03415078711877799
568,TOI-4641b,0.004647406731286016,0.007267834831764798,0.010857225469584564,0.015589246804203762,0.02162461144926733,0.029104141460677208,0.038143290560636645,0.04882883172899146,0.06121736166642049,0.07533476525222217,0.09117770599296413,0.10871604957694536,0.12789491647495338,0.14863857416242565,0.1708542625313107
569,TRAPPIST-1d,3.134635325224316e-16,1.9856928625331617e-15,1.0610332031125317e-14,4.888292055158977e-14,1.9777203570135025e-13,7.136315900202627e-13,2.326954744402103e-12,6.933905677337174e-12,1.9064766984813477e-11,4.877111422157932e-11,1.1692531879906606e-10,2.6436692138101104e-10,5.668314964691705e-10,1.158127421317533e-09,2.264522581710814e-09
570,TRAPPIST-1h,1.050728321738246e-28,2.5615803354065025e-27,4.67828534724698e-26,6.640794968998493e-25,7.556219837313947e-24,7.073800682504505e-23,5.570269058122448e-22,3.760067604593449e-21,2.2115058302795637e-20,1.149400604695604e-19,5.343965681494853e-19,2.246530346710891e-18,8.619667939796298e-18,3.0435842701994945e-17,9.962544182844534e-17
571,TOI-244b,1.5014249936419547e-09,4.547449596929948e-09,1.2402931184460989e-08,3.0882399625282365e-08,7.100492572593703e-08,1.5220651355426108e-07,3.066773641722287e-07,5.848568772427645e-07,1.0620018217034608e-06,1.8456039179696275e-06,3.083347463080057e-06,4.971213975117878e-06,7.761227853821195e-06,1.1768468895861368e-05,1.7376946042932413e-05
572,TOI-544b,0.002841660805659969,0.0042071508407214835,0.005981050190297901,0.00820946767276197,0.010928895038294298,0.014165060571061967,0.017932393466857485,0.022234288020739307,0.027063869194866294,0.03240484683620137,0.038232934883752505,0.04451733153873201,0.051221788310616675,0.05830622896819901,0.06572812872529127
573,HD110067b,8.984848094699054e-05,0.0001611013185602636,0.00027257835134334596,0.00043857138466173184,0.0006753659983435227,0.0010007699001252988,0.0014335282010470322,0.0019926953563954223,0.00269700904753945,0.0035642760852404713,0.0046108563769926645,0.005851242283908643,0.007297681876595052,0.008959974944104698,0.01084536657548291
574,HD110067c,1.2135038564428054e-05,2.421981374790827e-05,4.5176822606436956e-05,7.946307282583599e-05,0.00013278915706038487,0.0002121450412733521,0.00032574591214803853,0.0004829048756248172,0.0006938430825880994,0.0009694440524942624,0.0013209826150394506,0.0017598424680948872,0.0022972186928820037,0.0029438551845800726,0.0037098111521064315
575,HD110067d,1.315778269010694e-06,2.968903563029567e-06,6.192132692247775e-06,1.206190489217816e-05,2.2134923715739727e-05,3.854646530318959e-05,6.409228057398993e-05,0.00010228601371908829,0.00015738622580122456,0.00023438792746211556,0.0003389810834396171,0.000477478392636345,0.0006567113085393923,0.0008839094438819129,0.0011665670804331652
576,HD110067f,6.265415357539355e-09,1.8179204515956636e-08,4.7671502783977073e-08,1.1448395747708614e-07,2.5458304563552096e-07,5.291176245369334e-07,1.03593429965167e-06,1.9234677577609872e-06,3.4065310108264305e-06,5.783216767572232e-06,9.452010945004724e-06,1.4928106943582118e-05,2.2857709810546028e-05,3.402963466831611e-05,4.9383448233505676e-05
577,TOI-1442b,0.004940976231603692,0.007173149695199117,0.010018822975710098,0.013533088744385826,0.017755513247401718,0.02270934267254507,0.02840150382811439,0.034823671416391234,0.04195390314569997,0.049758223598588336,0.05819292533041881,0.06720681422568647,0.07674273335105114,0.08673985054557769,0.09713551550518076
578,TOI-622b,0.14443373140888144,0.19108686281356138,0.24518908690041163,0.30641067783467485,0.374243869569258,0.4480465942261129,0.5270808375972472,0.6105532057304461,0.6976492702242124,0.7875554265408448,0.8794846371246301,0.9726940915289253,1.0664889789967802,1.1602361843247255,1.253369898514511
579,K2-138f,6.369306486638896e-06,1.2141376907302648e-05,2.171951011798444e-05,3.6770444703866425e-05,5.932878288340642e-05,9.177263158197915e-05,0.00013677521372831822,0.00019723832238607603,0.0002762131765549516,0.0003768115142014593,0.0005021181351665707,0.0006551081131352307,0.0008385654541763313,0.0010550198434640917,0.0013066962759634376
580,TRAPPIST-1c,5.336242544179089e-13,2.4511386102406196e-12,9.771345939788617e-12,3.4431925984175154e-11,1.0890591897520671e-10,3.132139974064209e-10,8.281169045273341e-10,2.0317348680824323e-09,4.66292676431645e-09,1.0080390312390881e-08,2.0650739637802555e-08,4.0300670321020026e-08,7.526619921329051e-08,1.350674966487789e-07,2.3372918483264378e-07
581,TOI-122b,8.242501533888675e-09,2.3829349490819845e-08,6.229661687277848e-08,1.4921924538578152e-07,3.311017136641722e-07,6.868914672361492e-07,1.3427739223286676e-06,2.490020770527873e-06,4.405292256373239e-06,7.4723935652851825e-06,1.22043448197946e-05,1.9264477407530857e-05,2.948500793982823e-05,4.388219875829329e-05,6.366713503530362e-05
582,TOI-5126b,0.018401289713146102,0.025038482738799845,0.03295895244462594,0.042160899205037114,0.05260788326810812,0.06423402917808683,0.07694933789071655,0.09064596519580542,0.1052041151886556,0.12049636693188064,0.13639273102677202,0.1527645970790581,0.16948648788465576,0.18643927894816595,0.20351211101674083
583,TOI-500b,0.03864137430584622,0.04716836537023386,0.05626467834313498,0.06579648193299244,0.07563262019428661,0.08564940042363449,0.09573303418646162,0.10578201403934666,0.11570813332365852,0.12543567892865834,0.13490177887053081,0.14405578687973025,0.15285714882168208,0.1612753124901803,0.16928874239270367
584,TOI-1107b,0.7080713153657001,0.8587670773437319,1.018225334157466,1.1840287688962272,1.3538632905891959,1.5255929234741918,1.6972924310664068,1.8672794728418136,2.034123468240452,2.1966236553452263,2.353808986234826,2.5049221711120273,2.6493786072747136,2.786762052309732,2.916805354204488
585,K2-370b,0.39127974693267514,0.4507453247339425,0.5100943883633903,0.5685274814308016,0.6253887100224141,0.680160218226523,0.7324450455338705,0.7819573055409049,0.8285077534953796,0.8719821878092879,0.9123333669147707,0.9495691367007938,0.9837338209045352,1.0149057510675463,1.0431898389473864
586,HD28109d,3.5181664251305215e-08,8.828839380774958e-08,2.028413842429291e-07,4.316266806134391e-07,8.589347984128539e-07,1.6115631818888729e-06,2.8705187786479743e-06,4.88256474262346e-06,7.970697759213559e-06,1.2542584941330537e-05,1.909635661242424e-05,2.822326818048519e-05,4.0606635298631875e-05,5.701753582117356e-05,7.830739222338125e-05
587,HD110082b,0.00046173515134008815,0.0007327468698147411,0.0011093519711881262,0.0016124414360687927,0.0022619463734967708,0.0030759661062695967,0.004070036792701161,0.005256629977244461,0.006644857845613814,0.008240299692640547,0.010045069229175413,0.012058009128414504,0.014274866475738836,0.016688691718897045,0.01929025161182723
588,TOI-3714b,0.0006704071338880722,0.001215953115283655,0.0020794170582150557,0.003379142308837013,0.005252170396296164,0.007850792991282255,0.01133798916444569,0.01588229358466313,0.02165248047895283,0.028812177654096802,0.03751514163237999,0.047901230295765346,0.06009269178360634,0.074191857513987,0.09027967451294892
589,TOI-3629b,5.3842128778665503e-05,0.00010597316431198028,0.00019521120069071124,0.0003395116701440583,0.000561588955353097,0.0008889199233412761,0.0013534422680302463,0.001990984980789013,0.002840478535536279,0.0039429731691059495,0.005340587218756112,0.007075436107919004,0.009188521816848965,0.011718777754356115,0.014702236748126709
590,TOI-1194b,0.12810223483268499,0.16795781866866805,0.21376719984215314,0.26518581094844573,0.32173568281051623,0.38284288584959086,0.44786910255410556,0.5161443003093693,0.586993562988118,0.6597532008933532,0.733790154464615,0.8085146322155077,0.8833813934377855,0.9578995441079634,1.0316357557200588
591,TOI-5398b,0.004008636321335715,0.006449350915140045,0.009886846511193152,0.014535660397564376,0.02060574504943953,0.028293293263994934,0.03777266637582377,0.04919038462774049,0.06266110011606456,0.07826482770695975,0.0960466114573658,0.11601761319934555,0.1381562118871405,0.16241143304023703,0.18870671616386864
592,TOI-5398c,0.009258851182684635,0.012829702401066937,0.017169945575175326,0.022298253352673807,0.028211881761264324,0.03488876881607927,0.04229003748040892,0.050363310430597635,0.05904606171681675,0.06826826205095259,0.07795554094532153,0.08803181476232282,0.09842068693823952,0.10904769004149702,0.11984178577029381
593,TOI-1670c,1.9904067029021173e-05,4.075167822806645e-05,7.779258126286963e-05,0.00013974716398429133,0.0002380754186536784,0.00038714396990604546,0.0006042261656892618,0.0009093361999701792,0.0013249098712277577,0.001875340952707039,0.0025864308580794376,0.003484782797904219,0.0045971374116883235,0.005949754147556411,0.0075678359934851416
594,K2-3b,1.3164019650436404e-08,3.594478324140777e-08,8.92009724807318e-08,2.037142679083363e-07,4.3264055599858365e-07,8.619947103256836e-07,1.623247585535809e-06,2.907517271493415e-06,4.980590617789269e-06,8.197771154946467e-06,1.3017611874657879e-05,2.0013594581355186e-05,2.9882684241867995e-05,4.3450461926266896e-05,6.167242445726914e-05
595,GJ367b,0.02889300771474702,0.037140841627461785,0.04644139568810687,0.05670221077122606,0.06781155739694389,0.07964569580169324,0.09207450274026968,0.10496712419974512,0.11819631032359902,0.1316406008279593,0.14518726140552107,0.15873393031736988,0.17218815560578118,0.18546873814031384,0.19850585831884368
596,K2-174b,6.396708115960467e-09,1.7792926516006005e-08,4.490249712480051e-08,1.041249047826554e-07,2.242421095970851e-07,4.5252747305724644e-07,8.622396428466496e-07,1.5612454485929126e-06,2.70135377513086e-06,4.487780418543354e-06,7.188167633469583e-06,1.1140564129391138e-05,1.6759681047440973e-05,2.4541163229905108e-05,3.506356254920569e-05
597,TOI-628b,0.5575361505556249,0.6977811114909827,0.8512978641546097,1.016015471902881,1.1897453852387727,1.3702908620142,1.5555188089258265,1.7434276730156903,1.9321903865352243,2.1201625773999266,2.305905507368314,2.488189788336241,2.665969211821976,2.838386538874885,3.004762185045708
598,TOI-712b,1.1247760666887248e-06,2.387706992460425e-06,4.711227476305791e-06,8.724022872855341e-06,1.5283580538855956e-05,2.5503406316459326e-05,4.076810181958323e-05,6.273472956588711e-05,9.33200521782009e-05,0.00013467333977108624,0.00018913828532866902,0.00025920632889487016,0.0003474613580570376,0.0004565239597341302,0.0005889960332854486
599,WASP-193b,0.07970792334350682,0.10993717602769043,0.14650791120106096,0.18953294822768232,0.23894941042391632,0.2945382530817536,0.35594644640672046,0.42271536069853677,0.49430888959688324,0.5701352530692423,0.6495728613045958,0.7319914840328174,0.8167631056170251,0.9032797626062422,0.9909651685695021
