,Planet Name,RSM Estimate 1.1-1.1566667um,RSM Estimate 1.1566667-1.2133333um,RSM Estimate 1.2133333-1.27um,RSM Estimate 1.27-1.3266667um,RSM Estimate 1.3266667-1.3833333um,RSM Estimate 1.3833333-1.44um,RSM Estimate 1.44-1.4966667um,RSM Estimate 1.4966667-1.5533333um,RSM Estimate 1.5533333-1.61um,RSM Estimate 1.61-1.6666667um,RSM Estimate 1.6666667-1.7233333um,RSM Estimate 1.7233333-1.78um,RSM Estimate 1.78-1.8366667um,RSM Estimate 1.8366667-1.8933333um,RSM Estimate 1.8933333-1.95um
588,TOI-3714b,0.41041930568313645,0.40560978951946974,0.3997264761501992,0.3930413945446744,0.3857742538262913,0.37810196812609875,0.37016374374384486,0.36207091645082373,0.3539123326151236,0.3457560259424734,0.3376558014394043,0.32965405465582337,0.3217815362343405,0.3140620170758682,0.3065137116718576
589,TOI-3629b,0.11240686725554676,0.11063463886557737,0.10862842682918779,0.1064565618114346,0.10417324474926655,0.10182133527198685,0.09943384813874517,0.09703666629896784,0.09465000438371667,0.09228885941306231,0.08996476072763297,0.0876864985242935,0.08546003834675292,0.08328973915483673,0.0811787046679107
590,TOI-1194b,0.3844740051903073,0.37100540808353133,0.35787240563285955,0.3451523161217294,0.3328929697391538,0.32112115848305056,0.30984638666962216,0.29906818274041,0.2887792486324259,0.27896559061652054,0.26961072298460603,0.2606967743024027,0.2522033281742111,0.24411027357732917,0.23639811822782208
591,TOI-5398b,0.15164891149594298,0.14572109187705343,0.14003281769340142,0.1345967276332557,0.12941686925066487,0.12449151847228448,0.11981424100845628,0.11537639578908346,0.11116806797824512,0.10717789093490826,0.10339447781080661,0.09980668648725012,0.09640304797203428,0.09317275412300267,0.09010568732983988
592,TOI-5398c,0.0448467652047802,0.04309374546990566,0.041411565926259684,0.039803964182504877,0.03827213721199427,0.0368155751586945,0.03543237522571295,0.034119982010324165,0.03287546342212142,0.0316954580318894,0.030576598434576628,0.029515589598416336,0.028509039826129214,0.027553752852019667,0.02664673661970052
593,TOI-1670c,0.030880664262616542,0.029640315569976178,0.02845468494237651,0.027325321819640647,0.026252209631052875,0.025234306258683493,0.02426973348983688,0.023356263405290803,0.022491489706710138,0.02167277767527949,0.02089754251667332,0.02016329339295373,0.019467510365168895,0.018807837845974264,0.018182085350760133
594,K2-3b,0.007589039558607431,0.007472983920115592,0.007340644383206584,0.007196686983496563,0.007044821186860393,0.006887986968222393,0.00672845521964857,0.006568010920893117,0.006408052141667169,0.00624962062709468,0.006093520429225164,0.005940367487447814,0.005790584060866753,0.005644481462564402,0.005502284104609012
595,GJ367b,0.13899122844509074,0.13777427841329754,0.13614192834144168,0.13419100995852606,0.13200067927868786,0.12963542942889475,0.12714667934808163,0.12457605621076108,0.1219572022438884,0.11931633076223143,0.11667448965821711,0.11404854460276889,0.11145110950217535,0.10889217443135965,0.10637961786187732
596,K2-174b,0.003870564912544737,0.0037747184549816034,0.0036758319833497324,0.0035756418476475013,0.003475451926725927,0.003376233907979079,0.003278679319167598,0.003183288760815272,0.003090417261481469,0.0030002858935797884,0.0029130355861403854,0.0028287471050727586,0.0027474351104919887,0.002669084612884128,0.0025936594193302783
597,TOI-628b,0.7585895320126202,0.7277535458756861,0.6983276810761718,0.6703385098535167,0.6437762223879308,0.6186075115727878,0.5947799187079196,0.5722335142146344,0.5509048939512576,0.5307257933251183,0.5116297765155932,0.4935532066108257,0.4764321476660349,0.460207031243792,0.4448226158003135
598,TOI-712b,0.005900095922990479,0.005741657384155853,0.005580486364135099,0.0054189664900015375,0.0052588539868526265,0.005101428721078315,0.004947571188205707,0.004797895195006522,0.004652813843303598,0.0045125548294049364,0.004377239458899544,0.00424691075661644,0.0041215229304755185,0.004000994727998423,0.0038852208123250887
599,WASP-193b,0.3543166492927804,0.3402886026371774,0.32685196302489133,0.31403080865656446,0.3018301161628837,0.29024217139882674,0.27924890890167203,0.2688276373849603,0.2589531208516183,0.24959708958844054,0.24073151497128334,0.23232917573036055,0.22436228704592376,0.21680476732814538,0.2096322793394999
600,TOI-1064c,0.007944682413253966,0.007720957580103942,0.007495185682728204,0.007270343030758489,0.007048591388291887,0.0068314788690191,0.006620040939969988,0.006414975760666839,0.006216730007989621,0.006025517178949705,0.0058414212573538555,0.0056644324501547594,0.005494431650693864,0.005331260351750357,0.005174734650878613
601,TOI-1842b,0.22039160743303393,0.21145921333852336,0.202931753666713,0.19481777694224067,0.18711511067393827,0.17981463322984925,0.1729015587579059,0.16635885013616242,0.16016839537853,0.1543106163205349,0.14876642273545945,0.14351750223172302,0.1385454256274772,0.13383300888056757,0.1293643055430162
602,Kepler-1517b,0.6676391200185025,0.636854332254238,0.6079848617790028,0.5809323096171621,0.5555895183021841,0.5318472122325953,0.5095942124134244,0.4887246872181804,0.46913930582232133,0.4507422863199014,0.4334456898904146,0.4171690844011187,0.40183601312534745,0.38737721333556313,0.3737299670708072
603,TOI-1231b,0.00955055169873145,0.009460355124833298,0.00934242759414419,0.009203352059617063,0.00904849512272528,0.008882217693042715,0.008707986492797632,0.00852860054454466,0.008346315695935969,0.008162883113831525,0.007979704350343095,0.007797898504181253,0.00761829732502558,0.007441556337972895,0.007268189582290032
604,Qatar-6b,0.4734968155694194,0.45857827806759577,0.4437935157713533,0.4292818021988204,0.4151392350464373,0.40143011720719646,0.3881924162734892,0.3754475971809576,0.363205196419509,0.3514635042985329,0.3402152863480826,0.329449561290533,0.3191504471128991,0.30930101857191483,0.2998839310179896
605,TOI-559b,0.2794941965413096,0.26870818916402317,0.2583390043471244,0.24841414621727437,0.23894454227634068,0.22992987303991394,0.22136063460029679,0.21322284678859751,0.20549984834686222,0.19817202472797535,0.19121950052209447,0.18462266841739688,0.17836116298078206,0.17241571282782567,0.1667682172053006
606,Kepler-63b,0.03488226181105699,0.03362413454316585,0.03240265730261963,0.031223833494719952,0.030091157654203542,0.02900635562485357,0.027969702857888877,0.02698066721882989,0.026038177797274936,0.02514062416394536,0.024286225053790855,0.023473119084163163,0.022699253171645308,0.021962633308189792,0.021261347615405338
607,K2-399b,0.838693902201884,0.8077195278204423,0.7777518321815294,0.7489144151179323,0.7212740422484527,0.6948578652609156,0.6696606024058737,0.6456595592375749,0.6228207370322526,0.6010985511063961,0.5804444330992569,0.5608088134811334,0.5421383063403308,0.5243815796196782,0.5074897998868333
608,MASCARA-1b,4.906437597726454,4.677615710751924,4.463360510323718,4.2628571312874,4.075244649971286,3.8996609611477235,3.735241399784684,3.5811696113110743,3.43668417125705,3.3010555391980487,3.1736164032602403,3.0537583066208493,2.940905084446683,2.8345358615080385,2.7341798278154386
609,HD152843b,0.02871982969246399,0.027542253155563027,0.026419895123788336,0.025353440799439086,0.02434225669144693,0.023384867280239,0.02247911080648179,0.021622573953728203,0.020812737173593786,0.020046917815651204,0.01932251922717404,0.018637064364903002,0.01798807640993653,0.017373253056321317,0.01679046332897533
