,Planet Name,TSM Estimate 1.95-1.989um,TSM Estimate 1.989-2.028um,TSM Estimate 2.028-2.067um,TSM Estimate 2.067-2.106um,TSM Estimate 2.106-2.145um,TSM Estimate 2.145-2.184um,TSM Estimate 2.184-2.223um,TSM Estimate 2.223-2.262um,TSM Estimate 2.262-2.301um,TSM Estimate 2.301-2.34um,TSM Estimate 2.34-2.379um,TSM Estimate 2.379-2.418um,TSM Estimate 2.418-2.457um,TSM Estimate 2.457-2.496um,TSM Estimate 2.496-2.535um,TSM Estimate 2.535-2.574um,TSM Estimate 2.574-2.613um,TSM Estimate 2.613-2.652um,TSM Estimate 2.652-2.691um,TSM Estimate 2.691-2.73um,TSM Estimate 2.73-2.769um,TSM Estimate 2.769-2.808um,TSM Estimate 2.808-2.847um,TSM Estimate 2.847-2.886um,TSM Estimate 2.886-2.925um,TSM Estimate 2.925-2.964um,TSM Estimate 2.964-3.003um,TSM Estimate 3.003-3.042um,TSM Estimate 3.042-3.081um,TSM Estimate 3.081-3.12um,TSM Estimate 3.12-3.159um,TSM Estimate 3.159-3.198um,TSM Estimate 3.198-3.237um,TSM Estimate 3.237-3.276um,TSM Estimate 3.276-3.315um,TSM Estimate 3.315-3.354um,TSM Estimate 3.354-3.393um,TSM Estimate 3.393-3.432um,TSM Estimate 3.432-3.471um,TSM Estimate 3.471-3.51um,TSM Estimate 3.51-3.549um,TSM Estimate 3.549-3.588um,TSM Estimate 3.588-3.627um,TSM Estimate 3.627-3.666um,TSM Estimate 3.666-3.705um,TSM Estimate 3.705-3.744um,TSM Estimate 3.744-3.783um,TSM Estimate 3.783-3.822um,TSM Estimate 3.822-3.861um,TSM Estimate 3.861-3.9um
523,TOI-2587Ab,3.9261440132150236,3.840708257141431,3.7581130433270276,3.678243156897379,3.6009878509476905,3.5262408285445885,3.4539001861832577,3.383868328010395,3.316051858285438,3.2503614580673488,3.1867117509070586,3.1250211613526004,3.065211769283692,3.0072091624511175,2.9509422890802415,2.896343311977427,2.843347465240049,2.791892914397452,2.7419206205900024,2.6933742092173723,2.6461998433445357,2.600346102043183,2.5557638637556948,2.5124061946986354,2.4702282422696995,2.4291871333776114,2.3892418775842557,2.350353274924458,2.3124838282506146,2.275597659939251,2.2396604327880305,2.2046392749281694,2.170502708575801,2.1372205824464463,2.104764007659594,2.073105296963052,2.0422179071126645,2.0120763842471914,1.9826563121038199,1.9539342629271053,1.9258877509285315,1.8984951881614869,1.8717358426826227,1.845589798875842,1.8200379198225083,1.7950618116064778,1.7706437894489238,1.746766845572951,1.7234146187036854,1.7005713651148857
524,TOI-4145Ab,4.7580304264706905,4.658169899840789,4.561441697409389,4.467732708783593,4.376932739856965,4.288934750241822,4.203635014795733,4.12093322402575,4.0407325354901715,3.962939586136254,3.8874644737156685,3.814220713949083,3.7431251788994286,3.674098021014397,3.6070625864799424,3.5419453208481775,3.4786756693460146,3.4171859738109864,3.3574113678214874,3.2992896712769872,3.242761285424958,3.1877690891216206,3.1342583369378696,3.0821765595787096,3.0314734669694374,2.9821008542631957,2.9340125109485724,2.8871641331723064,2.841513239339562,2.797019089014949,2.7536426051132956,2.711346299343772,2.670094200850568,2.6298517879775742,2.590585923073262,2.552264790242156,2.5148578359449147,2.4783357123438083,2.442670223288077,2.407834272834365,2.373801816195429,2.340547813013011,2.3080481828524344,2.276279762817621,2.245220267189494,2.21484824899256,2.185143063398466,2.1560848328780016,2.1276544140168836,2.099833365914439
525,HD23472f,2.0142039305993236,1.9743859553479612,1.935691054506582,1.8980882675914639,1.8615463240165542,1.8260338974589305,1.7915198116919016,1.7579732059614186,1.7253636666541206,1.693661330901628,1.6628369668434808,1.6328620345042186,1.6037087305985058,1.5753500200410506,1.547759656490227,1.5209121938774366,1.4947829905591776,1.46934820746399,1.4445848013840163,1.420470514374276,1.3969838600648772,1.3741041075599754,1.3518112634851696,1.3300860526511527,1.3089098977232199,1.288264898218416,1.2681338090968393,1.248500019166264,1.229347529478789,1.2106609318655472,1.1924253877267197,1.174626607170676,1.157250828576123,1.1402847986344355,1.1237157529156456,1.1075313969894085,1.0917198881233405,1.076269817572524,1.0611701934673277,1.0464104243019414,1.0319803030205892,1.0178699916954985,1.0040700067877235,0.9905712049791483,0.977364769562852,0.964442197377143,0.9517952862678993,0.9394161230628224,0.9272970720409347,0.9154307638805083
526,HD207496b,3.190183024335148,3.126141568925524,3.0639587733134843,3.0035790196400454,2.944946790227625,2.8880070127888313,2.8327053347320903,2.7789883387241434,2.7268037096305746,2.6761003612660694,2.6268285299790377,2.5789398409291726,2.532387351944225,2.4871255790309195,2.4431105069409207,2.4002995876274067,2.358651728956887,2.318127275646537,2.2786879840672745,2.2402969922769724,2.202918786415704,2.166519164402374,2.1310651977083337,2.0965251918471823,2.062868646106989,2.0300662129534155,1.9980896574533082,1.9669118170009483,1.9365065615718886,1.9068487546835842,1.8779142152018187,1.8496796800996143,1.8221227682480021,1.7952219452953866,1.7689564896739216,1.743306459755125,1.7182526621655037,1.6937766212617955,1.6698605497570778,1.6464873204833816,1.6236404392696475,1.6013040189107839,1.5794627542003443,1.5581018979961436,1.5372072382875184,1.5167650762309486,1.496762205120628,1.4771858902597834,1.4580238496988305,1.4392642358069143
527,HD23472c,1.5556169611581352,1.524864604498021,1.4949796245589384,1.4659381098327868,1.4377159093121579,1.4102888289427515,1.3836327905931085,1.3577239597786954,1.3325388473522235,1.3080543895196777,1.284248009829266,1.261097666188218,1.2385818854668338,1.2166797878343338,1.1953711026251803,1.1746361772434746,1.1544559803696959,1.1348121005295457,1.11568674091286,1.0970627111864233,1.0789234169225663,1.0612528471639544,1.0440355605583707,1.0272566704247996,1.0109018290517107,0.994957211476062,0.9794094989488639,0.96424586225656,0.9494539450362529,0.9350218471975565,0.9209381085416266,0.9071916926498282,0.8937719710991049,0.8806687080482019,0.8678720452283232,0.8553724873624106,0.8431608880303416,0.8312284359906971,0.8195666419646243,0.8081673258836443,0.7970226045990616,0.7861248800483993,0.7754668278719876,0.7650413864706874,0.7548417464948499,0.7448613407531643,0.7350938345295295,0.7255331162952876,0.7161732888039472,0.7070086605554083
528,TOI-1937Ab,0.7991240374192891,0.7816720872783932,0.7648036060578938,0.7484946845312774,0.7327223666218861,0.7174646411287853,0.7027004261370924,0.688409547942552,0.6745727159544859,0.6611714947462863,0.6481882741832659,0.6356062383651231,0.6234093339642117,0.6115822384143893,0.600110328303786,0.5889796482423527,0.5781768804089519,0.5676893149294674,0.5575048211946595,0.5476118201924342,0.5379992579017392,0.5286565797741006,0.5195737063115795,0.5107410097366799,0.5021492917398612,0.4937897622820655,0.4856540194242191,0.47773403015142896,0.4700221121564333,0.4625109165452781,0.45519341142687697,0.4480628663477579,0.44111283753333697,0.4343371538974842,0.42772990378297643,0.4212854223962057,0.41499827990092375,0.4088632701368337,0.40287539993016275,0.39702987896497693,0.3913221101850265,0.3857476806975686,0.38030235315197225,0.37498205756707814,0.36978288358286115,0.3647010731130315,0.3597330133765814,0.3548752302873564,0.35012438218194736,0.3454772538673346
529,TOI-2803Ab,3.7662324383299097,3.681679240575508,3.600072973274392,3.521283793107865,3.445188002136654,3.3716678324330744,3.3006112168120203,3.231911551699326,3.165467456796593,3.1011825351078834,3.0389651360211425,2.978728123450199,2.9203886504978067,2.8638679416687545,2.809091083326032,2.755986822817174,2.704487376492851,2.654528246680895,2.6060480475575716,2.55898833976702,2.5132934735709114,2.468910440263237,2.4257887315499187,2.383880206570653,2.3431389662289783,2.303521234488439,2.2649852462939792,2.2274911417813517,2.191000866443211,2.155478076931341,2.120888052184346,2.0871976095826854,2.0543750258455895,2.022389962397484,1.9912133949452469,1.9608175470199474,1.931175827251037,1.9022627701526786,1.874053980214182,1.8465260790995814,1.8196566557710452,1.7934242193629135,1.7678081546433695,1.7427886799096823,1.7183468071734458,1.6944643045000816,1.6711236603758006,1.6483080499824663,1.6260013032685092,1.6041878747111646
530,TOI-2842b,2.5263585961163937,2.4708450230891703,2.4172050669394105,2.3653606265230644,2.315236854605913,2.2667621062474863,2.2198678669969176,2.1744886663210985,2.1305619805770935,2.0880281289494866,2.0468301650522585,2.0069137663169156,1.968227122821896,1.9307208268417597,1.8943477640940618,1.8590630074184165,1.8248237134284275,1.7915890225217852,1.7593199625101075,1.727979356032361,1.6975317318375365,1.6679432399628105,1.6391815707855102,1.6112158778910997,1.58401670467322,1.5575559145601776,1.5318066247489266,1.5067431433176082,1.4823409095806996,1.4585764375484658,1.435427262350561,1.4128718894845802,1.3908897467522767,1.3694611387491227,1.3485672037769258,1.3281898730529256,1.3083118320943723,1.2889164841618486,1.2699879156496476,1.2515108633174699,1.2334706832616256,1.215853321529827,1.1986452862884782,1.1818336214555778,1.1654058817177761,1.1493501088539577,1.1336548092924208,1.11830893283244,1.1033018524651208,1.0886233452323177
531,K2-415b,2.5169114559162105,2.481135922491731,2.445694002533414,2.4106277052764202,2.3759722213194343,2.341756766286543,2.3080053236014577,2.274737298465998,2.2419680936963875,2.2097096167961214,2.1779707265129615,2.146757626132409,2.1160742098817127,2.0859223680447303,2.056302255710247,2.0272125294788896,1.9986505559306669,1.9706125951956683,1.943093962567348,1.9160891707446495,1.8895920549781906,1.8635958831248223,1.8380934523750865,1.813077174208396,1.788539148947792,1.7644712311227344,1.7408650867073994,1.7177122431768412,1.6950041332125418,1.67273213279322,1.650887594320695,1.6294618753558643,1.608446363473528,1.5878324976863434,1.5676117868369217,1.547775825310862,1.5283163063843035,1.509225033483235,1.490493929600322,1.472115045088142,1.4540805640217132,1.4363828093023663,1.4190142466555633,1.401967487657428,1.385235291910469,1.3688105684747578,1.3526863766493267,1.3368559261874784,1.3213125770205085,1.3060498385561372
532,TOI-913b,1.2419402096341245,1.216614185755421,1.1920442533301814,1.168206059171321,1.1450755344330148,1.1226290047250966,1.1008432751882105,1.0796956949836103,1.0591642048877832,1.0392273710515747,1.0198644074603118,1.00105518919951,0.9827802582719437,0.9650208234135849,0.947758755109137,0.9309765768016693,0.9146574531198317,0.8987851758034955,0.8833441478898204,0.8683193666229072,0.8536964054672265,0.8394613955367408,0.8256010066938047,0.8121024285240495,0.7989533513541234,0.7861419474451994,0.7736568524680858,0.7614871473427602,0.7496223405057313,0.738052350653359,0.7267674899958806,0.7157584480463162,0.705016275959576,0.6945323714298755,0.6842984641488433,0.6743066018216781,0.6645491367353702,0.6550187128696721,0.6457082535391496,0.6366109495532646,0.627720247879515,0.619029840794117,0.6105336555040144,0.6022258442232985,0.5941007746873309,0.5861530210875255,0.5783773554100655,0.5707687391618644,0.5633223154675121,0.5560334015213866
533,TOI-2977b,1.1438711877698473,1.1190966986619488,1.0951398656840183,1.0719679771384454,1.049549541617892,1.027854291318014,1.0068531731411923,0.9865183304237894,0.9668230775685409,0.9477418694176015,0.9292502668384253,0.9113248997010656,0.8939434281864723,0.8770845031708868,0.8607277262744746,0.8448536100340701,0.8294435385564108,0.8144797289242386,0.7999451935597259,0.7858237036950722,0.7720997540556926,0.7587585288266144,0.745785868944111,0.73316824073223,0.720892705886727,0.7089468927944924,0.6973189691664509,0.6859976159538089,0.6749720025112228,0.6642317629666064,0.6537669737540333,0.643568132264454,0.6336261365679164,0.6239322661606285,0.6144781636905418,0.6052558176154832,0.5962575457492201,0.5874759796517217,0.5789040498212434,0.5705349716477212,0.5623622320880107,0.5543795770255078,0.5465809992782935,0.53896072722132,0.5315132139901406,0.5242331272350046,0.5171153393958839,0.5101549184703414,0.5033471192477159,0.49668737498457355
534,TOI-444b,1.5510269010064084,1.5186308226409642,1.4872427370873733,1.4568268794862909,1.427348332733691,1.398773115373791,1.3710682435929813,1.344201772268062,1.3181428191378575,1.2928615754420665,1.268329305773106,1.244518339396413,1.2214020548899824,1.1989548596198059,1.1771521652935162,1.1559703606068708,1.1353867818104164,1.1153796818686896,1.095928198756317,1.077012323329879,1.0586128671266375,1.040711430369895,1.0232903704008336,1.0063327707077432,0.9898224106839842,0.9737437362120925,0.9580818311450829,0.9428223897338819,0.9279516900314198,0.9134565682900305,0.8993243943566803,0.885543048061421,0.8721008965870441,0.8589867728021042,0.8461899545352064,0.8337001447647298,0.8215074526962518,0.809602375697805,0.797975782061983,0.786618894563789,0.7755232747821803,0.7646808081538682,0.7540836897282253,0.7437244105923208,0.7335957449362921,0.7236907377296848,0.7140026929805452,0.7045251625497723,0.69525193549438,0.6861770279144311
