,Planet Name,RSM Estimate 1.95-1.989um,RSM Estimate 1.989-2.028um,RSM Estimate 2.028-2.067um,RSM Estimate 2.067-2.106um,RSM Estimate 2.106-2.145um,RSM Estimate 2.145-2.184um,RSM Estimate 2.184-2.223um,RSM Estimate 2.223-2.262um,RSM Estimate 2.262-2.301um,RSM Estimate 2.301-2.34um,RSM Estimate 2.34-2.379um,RSM Estimate 2.379-2.418um,RSM Estimate 2.418-2.457um,RSM Estimate 2.457-2.496um,RSM Estimate 2.496-2.535um,RSM Estimate 2.535-2.574um,RSM Estimate 2.574-2.613um,RSM Estimate 2.613-2.652um,RSM Estimate 2.652-2.691um,RSM Estimate 2.691-2.73um,RSM Estimate 2.73-2.769um,RSM Estimate 2.769-2.808um,RSM Estimate 2.808-2.847um,RSM Estimate 2.847-2.886um,RSM Estimate 2.886-2.925um,RSM Estimate 2.925-2.964um,RSM Estimate 2.964-3.003um,RSM Estimate 3.003-3.042um,RSM Estimate 3.042-3.081um,RSM Estimate 3.081-3.12um,RSM Estimate 3.12-3.159um,RSM Estimate 3.159-3.198um,RSM Estimate 3.198-3.237um,RSM Estimate 3.237-3.276um,RSM Estimate 3.276-3.315um,RSM Estimate 3.315-3.354um,RSM Estimate 3.354-3.393um,RSM Estimate 3.393-3.432um,RSM Estimate 3.432-3.471um,RSM Estimate 3.471-3.51um,RSM Estimate 3.51-3.549um,RSM Estimate 3.549-3.588um,RSM Estimate 3.588-3.627um,RSM Estimate 3.627-3.666um,RSM Estimate 3.666-3.705um,RSM Estimate 3.705-3.744um,RSM Estimate 3.744-3.783um,RSM Estimate 3.783-3.822um,RSM Estimate 3.822-3.861um,RSM Estimate 3.861-3.9um
13,WASP-25b,0.18039069361158955,0.17646790320368436,0.17267539994839365,0.16900790955019981,0.16546036115349427,0.16202788670983562,0.158705818551967,0.15548968560510673,0.15237520858122308,0.14935829443346246,0.1464350302921674,0.1436016770589821,0.14085466279903372,0.1381905760415335,0.1356061590752832,0.13309830130611508,0.13066403272765226,0.12830051754411093,0.12600504797366974,0.12377503825276284,0.12160801885503845,0.11950163093357385,0.11745362099072924,0.1154618357767526,0.11352421741577447,0.11163879875575494,0.10980369893752888,0.10801711917697021,0.10627733875343974,0.10458271119719262,0.10293166066801239,0.10132267851715916,0.09975432002463877,0.09822520130381829,0.09673399636553102,0.09527943433392784,0.09386029680659515,0.0924754153516455,0.09112366913474056,0.08980398266933691,0.08851532368364172,0.08725670109810967,0.08602716310759165,0.08482579536248559,0.0836517192435723,0.0825040902254468,0.08138209632374684,0.080284956621606,0.07921191987102105,0.07816226316506515
14,LHS1140c,0.0041206754674812645,0.0040667825013353896,0.004013107360423309,0.0039597406331088065,0.003906760337196401,0.003854233373401881,0.003802216814768215,0.0037507590504100513,0.0036999007999881555,0.003649676013519995,0.003600112669508256,0.0035512334829160917,0.0035030565332157134,0.003455595821573811,0.0034088617652059507,0.0033628616360122615,0.0033175999497927888,0.003273078811618998,0.003229298222298645,0.0031862563503064632,0.0031439497730515746,0.003102373690912426,0.0030615221170776532,0.003021388045885655,0.0029819636020522286,0.0029432401729028094,0.0029052085254890857,0.0028678589102583895,0.0028311811527559666,0.002795164734676769,0.002759798865435635,0.0027250725452956153,0.002690974620979141,0.00265749383458477,0.0026246188665423604,0.0025923383732581874,0.002560641020032022,0.0025295155097636527,0.002498950607910112,0.002468935164106527,0.0024394581308167956,0.002410508579342426,0.0023820757134825135,0.0023541488811053,0.002326717583865411,0.0022997714852747314,0.002273300417313502,0.002247294385747649,0.00222174357430115,0.002196638347816731
15,TOI-1199b,0.14566433660235087,0.14250532856469433,0.13945079489523257,0.13649653971808356,0.13363852542958882,0.13087287281836246,0.12819585966508343,0.12560391817851888,0.12309363155465274,0.12066172988945509,0.11830508562996858,0.11602070871135334,0.11380574149740469,0.11165745361755881,0.10957323677364733,0.10755059957352828,0.10558716243571853,0.10368065259860847,0.10182889925932298,0.10002982886045683,0.0982814605373543,0.09658190173426154,0.09492934399411627,0.09332205892395912,0.09175839433582614,0.09023677056119911,0.08875567693584711,0.08731366845090295,0.0859093625652496,0.08454143617383374,0.08320862272613423,0.08190970948881769,0.08064353494650348,0.07940898633453453,0.07820499729771138,0.07703054566900559,0.07588465136245535,0.07476637437456961,0.07367481288875115,0.07260910147749589,0.07156840939726662,0.07055193897120271,0.06955892405503783,0.06858862858177928,0.06764034518096024,0.06671339386844939,0.06580712080302853,0.06492089710612402,0.06405411774128093,0.0632062004501587
16,TOI-1273b,0.13691414353040235,0.13394899969774274,0.13108170668554747,0.12830835061255821,0.12562516351583175,0.12302852376221725,0.12051495499678597,0.11808112396745676,0.11572383749909328,0.1134400388369315,0.11122680353568726,0.10908133503553316,0.10700096003751323,0.10498312376767036,0.10302538520036573,0.10112541229590408,0.09928097729518365,0.09748995210402792,0.09575030379171906,0.09406009022171107,0.09241745582717871,0.09082062753988689,0.08926791087744085,0.08775768619129527,0.08628840507584584,0.0848585869371979,0.08346681571899371,0.08211173678170938,0.08079205393107482,0.07950652659080823,0.0782539671144643,0.07703323823098654,0.075843250618429,0.07468296060027106,0.07355136795878747,0.07244751385997789,0.07137047888472109,0.07031938116092437,0.06929337459160079,0.06829164717402914,0.06731341940527696,0.06635794276960563,0.06542449830346886,0.0645123952339796,0.06362096968695882,0.0627495834608357,0.061897622862878754,0.06106449760439742,0.06024963975174113,0.059452502730098486
17,TOI-5803b,0.00483672353804708,0.0047365187555768575,0.004639389013183439,0.004545228538863782,0.004453933671396425,0.004365403188471432,0.004279538548152311,0.0041962440597948306,0.004115426997710996,0.00403699766853454,0.003960869441316815,0.0038869587477979193,0.003815185058987314,0.003745470843103468,0.003677741509028864,0.0036119253386935808,0.003547953411187477,0.0034857595208921603,0.0034252800915022226,0.0033664540874565,0.0033092229240089975,0.0032535303769313955,0.003199322492638709,0.003146547499365151,0.00309515571988346,0.0030450994861458435,0.0029963330561343653,0.002948812533132416,0.002902495787565135,0.0028573423815077205,0.002813313495917776,0.002770371860614924,0.0027284816870038436,0.0026876086035153264,0.0026477195937234677,0.002608782937082752,0.0025707681522203862,0.002533645942710397,0.0024973881452505326,0.002461967680160941,0.002427358504119028,0.0023935355650454467,0.0023604747590558087,0.0023281528893920943,0.0022965476272504663,0.00226563747442258,0.002235401727670283,0.002205820444755109,0.002176874412046879,0.0021485451136386015
18,TOI-3819b,0.11865964512294162,0.1160606776363792,0.11354899283725893,0.11112098469575776,0.10877319404875166,0.1065023068073218,0.10430515114299942,0.10217869391640921,0.10012003655872156,0.09812641057343488,0.09619517279125166,0.0943238004829016,0.09250988641217922,0.09075113389320245,0.08904535190128154,0.08739045027492133,0.08578443503700187,0.08422540385555793,0.0827115416584826,0.08124111641164329,0.07981247506601226,0.07842403967643341,0.07707430369223357,0.07576182841804778,0.07448523964187172,0.07324322442622992,0.07203452805762371,0.07085795114886978,0.06971234688853672,0.06859661843151048,0.06750971642457476,0.06645063666088692,0.06541841785727434,0.06441213954837563,0.06343092009180551,0.06247391477866506,0.06154031404395344,0.060629341771612305,0.05974025368915031,0.058872335847053675,0.05802490317835736,0.05719729813401135,0.05638888938989064,0.05559907062148172,0.054827259342522555,0.05407289580404326,0.053335441950466245,0.05261438042959097,0.051909213653475485,0.051219462907401495
19,TOI-4791b,0.12874545286369016,0.1258908729980415,0.12313395851791796,0.12047053943327345,0.11789662983361299,0.11540842331460963,0.11300228760189834,0.11067475861999652,0.10842253420155647,0.10624246758996271,0.10413156085432768,0.10208695830889716,0.10010594000717034,0.09818591536365077,0.09632441694237717,0.09451909444032743,0.09276770888507618,0.0910681270591815,0.089418316158349,0.08781633868620542,0.08626034758519566,0.0847485816006677,0.08327936087327333,0.08185108275341597,0.0804622178305274,0.07911130616919172,0.07779695374375183,0.0765178290627836,0.07527265997469644,0.07406023064579884,0.07287937870225106,0.07172899252753258,0.07060800870728681,0.06951540961367934,0.06845022112171938,0.06741151045027885,0.06639838412091295,0.06540998602787816,0.06444549561306862,0.06350412613995368,0.06258512306085416,0.06168776247224061,0.060811349653027036,0.05995521768108422,0.05911872612350792,0.05830125979640225,0.05750222759020562,0.05672106135679928,0.05595721485487191,0.05521016275022869
20,TOI-4377b,0.26020529829388567,0.2548964541407805,0.24974624236708862,0.2447495422753055,0.23990129441640998,0.23519652349357456,0.23063035603758097,0.2261980337851263,0.2218949235314061,0.21771652409646597,0.2136584709353639,0.2097165388318623,0.20588664304032436,0.2021648391781264,0.1985473221192997,0.19503042409701052,0.1916106121867366,0.18828448531219455,0.18504877089123606,0.18190032121828506,0.17883610966255403,0.17585322674702306,0.17294887616108612,0.17012037074977623,0.16736512851427104,0.16468066865129366,0.1620646076533762,0.15951465548715277,0.157028611862801,0.1546043626045695,0.1522398761295379,0.14993320003955632,0.14768245782946857,0.14548584571322204,0.1433416295682779,0.14124814199769142,0.13920377950853935,0.1372069998046798,0.13525631919134373,0.1333503100887745,0.13148759865173082,0.1296668624915625,0.1278868284974234,0.12614627075304388,0.12444400854553209,0.12277890446260423,0.12114986257471583,0.11955582669857365,0.11799577873860079,0.11646873710302219
21,Wolf327b,0.07680717911607719,0.07557235276736737,0.07435816289491974,0.07316515347543388,0.07199371335051419,0.07084409842881426,0.06971645095479073,0.06861081623217247,0.06752715713811341,0.06646536671894719,0.06542527911941987,0.06440667906363998,0.06340931007687817,0.062432881612173426,0.06147707522401465,0.060541549912553706,0.059625946745576315,0.05872989285140223,0.05785300486372094,0.056994891888846586,0.05615515805672199,0.05533340470912275,0.054529232271617184,0.05374224184987259,0.05297203658575323,0.05221822280410091,0.0514804109772065,0.0507582165305649,0.05005126051050847,0.04935917013175668,0.0486815792206346,0.04801812856775091,0.04736846620219944,0.0467322475978408,0.04610913582091202,0.045498801627039086,0.044900923514747774,0.04431518774166185,0.04374128830880231,0.043178926917750465,0.04262781290480292,0.042087663155752415,0.041558202004468164,0.04103916111802559,0.04053027937081067,0.04003130270969131,0.03954198401209121,0.039062082938548785,0.038591365781141945,0.03812960530897983
22,HD118203b,0.24225290709810263,0.23694249348564053,0.2318106507679259,0.2268499843450924,0.22205340257820944,0.2174141127994691,0.2129256152755336,0.2085816956575947,0.204376416343605,0.200304107091109,0.1963593551486098,0.19253699511682354,0.18883209870540957,0.18523996451378658,0.18175610793505834,0.17837625125807696,0.17509631402351475,0.1719124036744206,0.16882080652944137,0.1658179790971419,0.16290053974203625,0.1600652607069556,0.15730906049153728,0.15462899658293877,0.15202225853217882,0.14948616136726772,0.14701813933286095,0.14461573994508511,0.1422766183493996,0.13999853196903186,0.1377793354312596,0.13561697575882647,0.13350948781389438,0.1314549899821572,0.12945168008507638,0.12749783150850563,0.1255917895364652,0.12373196787919723,0.12191684538508561,0.12014496292656267,0.11841492045047777,0.11672537418394195,0.1150750339871065,0.11346266084471729,0.11188706448878928,0.11034710114509963,0.10884167139663355,0.10736971815746162,0.10593022475091243,0.10452221308626373
